Instance,Costs
1,923293
2,946731
3,964321
4,935529
5,963145
6,965098
7,999333
8,982476
9,990007
10,949597
11,920758
12,886475
13,882206
14,879132
15,901157
16,881109
17,868460
18,955108
19,886151
20,870719
21,620554
22,642400
23,619736
24,624104
25,662570
26,596914
27,630178
28,662377
29,581884
30,656639
31,256468
32,229367
33,326096
34,201561
35,254257
36,285569
37,284211
38,225954
39,283729
40,227322
41,1053487
42,998666
43,974726
44,991590
45,959078
46,992481
47,996469
48,919116
49,1025243
50,1013145
51,944652
52,930104
53,900028
54,983944
55,939363
56,969977
57,974296
58,915516
59,918484
60,915156
61,685948
62,645789
63,574414
64,643578
65,627767
66,623420
67,681472
68,687478
69,613020
70,658672
71,152553
72,174703
73,183919
74,163999
75,180110
76,230009
77,264582
78,198649
79,191474
80,219533
81,953432
82,974920
83,996947
84,978849
85,966898
86,945363
87,969622
88,980092
89,990067
90,923167
91,948026
92,942127
93,995125
94,908268
95,990642
96,940762
97,973502
98,931315
99,928409
100,968911
101,570746
102,575294
103,580061
104,622117
105,567390
106,592085
107,609667
108,582808
109,616330
110,590485
111,164102
112,172713
113,191197
114,226838
115,225392
116,329455
117,203305
118,144439
119,176792
120,135677
121,906599
122,1062545
123,1002336
124,981810
125,955236
126,1012001
127,999606
128,1001274
129,1035508
130,984799
131,961938
132,953895
133,960430
134,971142
135,963103
136,963397
137,911403
138,957430
139,891004
140,982580
141,609684
142,597325
143,601653
144,618479
145,592036
146,597801
147,556943
148,587133
149,597526
150,598066
151,159263
152,160061
153,242365
154,201126
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1826350
162,1907679
163,1838815
164,1894576
165,1894639
166,2048413
167,1960553
168,1844753
169,1887228
170,1944161
171,1850733
172,1816470
173,1793389
174,1812069
175,1749104
176,1840356
177,1828092
178,1709268
179,1804843
180,1752162
181,1235526
182,1192395
183,1276254
184,1221758
185,1146101
186,1140330
187,1151580
188,1175811
189,1195227
190,1216046
191,552296
192,466104
193,513371
194,351098
195,529239
196,477323
197,411901
198,442595
199,504571
200,290416
201,1891454
202,1939450
203,1958500
204,2019012
205,2001797
206,1986598
207,1977899
208,1952666
209,1888261
210,1958835
211,1872381
212,1863603
213,1794278
214,1912806
215,1902731
216,1902129
217,1884698
218,1940785
219,1816331
220,1858078
221,1211877
222,1285374
223,1279642
224,1185876
225,1206996
226,1337772
227,1180009
228,1173424
229,1196182
230,1194021
231,380927
232,393113
233,344143
234,255815
235,356747
236,399091
237,409937
238,349775
239,407819
240,363446
241,1969601
242,1949967
243,1910196
244,1949147
245,1910447
246,1968037
247,1930238
248,2010842
249,1933196
250,1957948
251,1906510
252,1824431
253,1879445
254,1920732
255,1949009
256,1877158
257,1836730
258,1933973
259,1924630
260,1764420
261,1145752
262,1195197
263,1177122
264,1214698
265,1192127
266,1151630
267,1166243
268,1179452
269,1130311
270,1151422
271,400615
272,289377
273,399851
274,326912
275,411206
276,385096
277,392149
278,343515
279,309168
280,357158
281,2002913
282,1990170
283,1888092
284,1952041
285,1993337
286,1937901
287,2027882
288,1969985
289,2003796
290,1999455
291,1850614
292,1882010
293,1829745
294,1862392
295,1771486
296,1931142
297,1825504
298,1822212
299,1790260
300,1915007
301,1206990
302,1232614
303,1198820
304,1117670
305,1177016
306,1202840
307,1223446
308,1171400
309,1122546
310,1188237
311,374146
312,474110
313,345176
314,328552
315,308172
316,355902
317,382442
318,400356
319,299633
320,431614
321,2665856
322,2871812
323,2789168
324,2812141
325,2832663
326,2959231
327,2984888
328,2905571
329,2888713
330,2889270
331,2757790
332,2739033
333,2706602
334,2509729
335,2684464
336,2579379
337,2547913
338,2484621
339,2647324
340,2642113
341,1824455
342,1761284
343,1819740
344,1721428
345,1744996
346,1605729
347,1765242
348,1762208
349,1874305
350,1705336
351,597844
352,544429
353,715580
354,506187
355,506011
356,527864
357,725446
358,680524
359,494658
360,545195
361,2892480
362,2984998
363,2885597
364,2938411
365,2872348
366,2951356
367,2916993
368,2895048
369,2922915
370,2988178
371,2851590
372,2880561
373,2784012
374,2834688
375,2808847
376,2727486
377,2815796
378,2733184
379,2757987
380,2736680
381,1814510
382,1863016
383,1840720
384,1774994
385,1879596
386,1833501
387,1876539
388,1782009
389,1741270
390,1767305
391,511242
392,469536
393,456616
394,530920
395,522212
396,559411
397,515494
398,535392
399,523270
400,473732
401,2960439
402,2994396
403,2925046
404,2933109
405,2842357
406,2958827
407,2933471
408,2933057
409,2948319
410,3035870
411,2719400
412,2768151
413,2772544
414,2743012
415,2669723
416,2767272
417,2743977
418,2760380
419,2756559
420,2802350
421,1852771
422,1791403
423,1780799
424,1755331
425,1700738
426,1773987
427,1830876
428,1783455
429,1725571
430,1761357
431,526538
432,451279
433,387958
434,597510
435,550038
436,491435
437,456340
438,655215
439,511196
440,531498
441,2937070
442,2933748
443,2941874
444,2921709
445,3019344
446,2971227
447,3005711
448,2956447
449,2960689
450,2933950
451,2844651
452,2715240
453,2720105
