Ranks,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Integrated Ranks,Ranks
RCMC-TCM,,442,1,3,2,5,2,12,6,10,6,4,4,2,5,7,3,3,6,5,8,5,14,6,8,10,7,14,4,9,16,5,4,0,2,6.70625,5
RCMC-TOCM,,442,1,3,1,4,2,12,6,8,6,5,3,3,5,4,6,3,8,4,7,7,15,9,9,11,11,10,10,8,4,7,1,3,2,6.7171875,6
RCWMC-TCM,,479,7,14,10,2,8,6,6,12,7,13,5,8,4,9,3,5,8,3,5,6,6,2,4,1,3,1,1,1,0,1,0,0,0,3.8296875,2
RCMWMC-TOCM,,483,6,15,7,8,8,8,8,7,6,11,5,8,5,6,2,4,5,7,5,5,3,5,5,4,1,0,0,2,0,1,0,0,0,3.73125,1
WPCM-1-TCM,,2,2,6,2,2,3,4,9,7,7,7,7,37,27,19,16,54,25,29,16,33,36,31,46,52,74,13,16,24,10,9,6,7,2,20.6,23
WPCM-1-TOCM,,4,4,5,4,12,4,3,13,11,9,4,3,42,16,23,14,50,21,25,25,38,21,79,35,81,23,14,13,21,6,3,5,9,0,19.81875,22
WPCM-2-TCM,,59,10,14,10,7,7,8,6,10,10,34,26,69,31,162,13,16,6,9,7,13,7,21,9,10,4,13,3,20,5,18,2,1,0,14.340625,15
WPCM-2-TOCM,,101,9,15,9,13,14,7,16,8,8,79,32,173,11,14,9,14,6,7,6,16,4,11,7,4,4,20,4,10,2,3,1,3,0,11.815625,13
UPCM-TCM,,51,5,14,10,8,9,10,5,7,6,27,21,51,43,78,110,15,18,12,8,17,8,14,10,10,8,15,4,22,4,16,3,1,0,15.053125,16
UPCM-TOCM,,87,14,11,10,16,9,7,10,8,10,59,46,94,117,11,11,10,8,5,3,18,10,7,9,3,5,18,8,7,2,4,0,3,0,12.296875,14
WUPCM1-TCM,,1,2,4,10,0,5,10,9,12,6,5,6,14,7,22,16,15,54,47,51,26,41,32,22,61,26,26,26,31,18,17,6,11,1,20.98125,24
WUPCM1-TOCM,,6,3,10,7,7,8,11,4,7,4,6,8,10,18,78,30,62,44,50,16,24,12,28,10,60,17,22,15,30,6,12,5,10,0,19.0546875,21
WUPCM2-TCM,,497,2,14,6,3,3,5,2,4,5,5,3,4,1,1,6,4,5,5,5,4,4,10,5,4,4,1,3,8,4,5,4,4,0,4.628125,4
WUPCM2-TOCM,,495,3,15,7,4,2,5,2,3,6,5,4,6,1,1,5,6,3,6,5,2,4,10,5,2,2,2,2,7,5,5,3,2,5,4.5875,3
MGMM-TCM,,266,3,8,4,13,14,9,7,8,6,36,6,18,13,52,19,9,24,12,8,41,35,6,4,2,3,3,4,4,1,2,0,0,0,9.4484375,11
MGMM-TOCM,,249,3,6,2,14,5,16,3,17,8,13,38,11,15,30,61,7,13,24,6,32,46,3,2,2,2,3,3,2,2,0,2,0,0,9.8546875,12
MRCPM-TCM,,0,1,3,0,3,3,5,2,6,6,6,2,18,11,26,21,36,22,55,25,34,18,33,18,41,33,98,18,58,8,20,2,8,0,22.140625,27
MRCPM-TOCM,,0,1,2,1,3,5,4,4,6,6,6,4,20,6,21,19,37,16,54,24,42,24,21,26,38,30,98,18,54,9,24,8,8,1,22.284375,28
VAM-TCM,,24,8,10,22,12,8,8,8,5,8,7,6,18,14,25,15,30,53,48,51,43,44,33,22,52,17,20,10,14,2,2,1,0,0,17.7828125,19
VAM-TOCM,,28,11,18,7,16,12,11,5,6,8,7,10,25,13,82,25,93,51,42,15,25,8,23,18,52,3,12,1,10,2,1,0,0,0,15.9984375,17
KSAM-TCM,,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,1,1,6,3,9,5,15,9,37,10,33,12,30,16,133,26,60,226,30.5296875,33
KSAM-TOCM,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,6,6,6,5,9,6,22,9,25,28,19,28,96,69,221,76,30.7140625,34
RAM-TCM,,441,0,4,0,9,4,9,3,4,3,9,8,0,6,4,5,4,5,2,4,10,6,10,7,6,5,10,6,16,10,12,8,6,4,7.115625,10
RAM-TOCM,,441,0,3,2,9,6,9,2,4,5,8,4,3,2,5,3,4,10,5,3,9,8,4,7,10,3,11,10,8,8,14,8,11,1,7.065625,7
MDM-TCM,,442,1,1,1,6,3,8,6,12,6,4,2,3,2,3,4,8,4,4,4,5,7,8,8,12,6,13,10,13,7,11,9,3,4,7.1125,9
MDM-TOCM,,442,1,1,1,5,3,8,7,12,7,4,2,3,2,2,5,8,3,4,6,4,11,8,9,6,9,10,10,11,8,13,7,7,1,7.071875,8
SDM-TCM,,0,0,0,0,0,0,0,0,0,0,0,0,20,5,12,14,31,18,22,15,60,18,37,70,47,53,28,27,40,53,25,22,7,16,24.3109375,30
SDM-TOCM,,0,0,0,1,0,0,0,0,2,0,0,0,10,8,12,7,82,12,28,41,21,20,92,43,47,27,22,26,41,47,13,25,8,5,23.409375,29
TCM-MT,,9,3,1,0,9,5,2,4,7,6,7,4,15,16,24,20,41,18,49,16,38,18,29,18,36,35,97,18,56,7,20,3,7,2,21.6140625,25
TOCM-MT,,9,2,0,1,11,5,1,6,8,6,8,6,16,11,18,19,36,17,41,26,45,20,19,23,35,31,97,20,57,7,25,6,7,1,21.7671875,26
JHM-TCM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,11,4,8,5,20,11,35,11,42,13,41,22,215,36,159,0,29.65625,31
JHM-TOCM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,11,4,8,5,20,11,35,11,41,13,42,22,215,36,159,0,29.659375,32
IVAM-TCM,,13,4,7,13,12,8,11,8,6,8,5,9,13,12,25,12,29,41,43,70,41,50,31,30,55,20,18,17,14,11,2,2,0,0,18.9140625,20
IVAM-TOCM,,16,8,16,7,7,14,15,6,10,6,2,5,18,16,78,30,90,61,37,21,29,5,26,14,55,7,20,3,14,3,1,0,0,0,16.925,18
