Instance,Costs
1,922675
2,946712
3,965622
4,935641
5,964845
6,965280
7,1002154
8,982015
9,990679
10,951549
11,924229
12,882533
13,882569
14,872850
15,902128
16,881587
17,868142
18,955329
19,883457
20,880465
21,609102
22,612831
23,608616
24,616039
25,658577
26,629499
27,622265
28,638713
29,579637
30,632968
31,237963
32,231949
33,334033
34,205151
35,333035
36,275432
37,281910
38,206917
39,290501
40,207987
41,1050800
42,993682
43,969681
44,989131
45,954079
46,985045
47,993522
48,915314
49,1021928
50,1010071
51,924317
52,915195
53,877930
54,954994
55,921593
56,953398
57,948110
58,890122
59,892234
60,900131
61,650027
62,569036
63,520017
64,598150
65,580726
66,579700
67,643363
68,616837
69,576974
70,597562
71,165704
72,203218
73,204844
74,168385
75,187644
76,228758
77,281804
78,205876
79,203642
80,220949
81,940654
82,966831
83,987029
84,971977
85,954826
86,936643
87,960382
88,971007
89,978480
90,912716
91,899185
92,895237
93,956913
94,875591
95,929734
96,897340
97,931759
98,904567
99,873267
100,934489
101,566656
102,564582
103,578352
104,606985
105,553459
106,585821
107,603709
108,597970
109,600337
110,580694
111,165271
112,184188
113,203781
114,224188
115,228524
116,324648
117,202601
118,168105
119,180404
120,135677
121,893220
122,1044394
123,987692
124,967151
125,939306
126,994845
127,990506
128,985957
129,1022204
130,971435
131,932672
132,928864
133,931740
134,958154
135,948292
136,943018
137,894115
138,936642
139,871702
140,958936
141,607952
142,596332
143,600458
144,627883
145,590188
146,608519
147,567165
148,581956
149,596590
150,610738
151,171947
152,191141
153,245836
154,220617
155,190235
156,164064
157,152413
158,243048
159,200382
160,207177
161,1827270
162,1910154
163,1843603
164,1894583
165,1890779
166,2048511
167,1959919
168,1846008
169,1890430
170,1943451
171,1844318
172,1811557
173,1796879
174,1817078
175,1747580
176,1837547
177,1817972
178,1713960
179,1805790
180,1767056
181,1251981
182,1197724
183,1231753
184,1232568
185,1130667
186,1156743
187,1155301
188,1186249
189,1208161
190,1205080
191,523155
192,410644
193,426535
194,406267
195,563591
196,497934
197,458099
198,441656
199,559234
200,355870
201,1885129
202,1936064
203,1951012
204,2011828
205,1990262
206,1977377
207,1970555
208,1944048
209,1882214
210,1948609
211,1844619
212,1844175
213,1766103
214,1873395
215,1863248
216,1861644
217,1834610
218,1887331
219,1775863
220,1813951
221,1175028
222,1246658
223,1245502
224,1145914
225,1213724
226,1302082
227,1150538
228,1135960
229,1169218
230,1175262
231,417651
232,426283
233,372156
234,289024
235,418510
236,475757
237,417233
238,365950
239,442263
240,377485
241,1946415
242,1930213
243,1888967
244,1931495
245,1889237
246,1948266
247,1914919
248,1987379
249,1914115
250,1935908
251,1854733
252,1786932
253,1844617
254,1868338
255,1873364
256,1840448
257,1812864
258,1893161
259,1875796
260,1728061
261,1150742
262,1207978
263,1170080
264,1208836
265,1203981
266,1151359
267,1177072
268,1177913
269,1124411
270,1144381
271,436939
272,360597
273,512898
274,351419
275,465239
276,419573
277,393275
278,437258
279,368813
280,377604
281,1982801
282,1967033
283,1863397
284,1927694
285,1975298
286,1916761
287,2007930
288,1941224
289,1977838
290,1974143
291,1838167
292,1866853
293,1820140
294,1855614
295,1759779
296,1916000
297,1814356
298,1803137
299,1776130
300,1899857
301,1210151
302,1231150
303,1202406
304,1122433
305,1177506
306,1224618
307,1233813
308,1182224
309,1120453
310,1196864
311,393342
312,511091
313,364485
314,378376
315,331088
316,366068
317,453049
318,404487
319,350206
320,448954
321,2663922
322,2873248
323,2788772
324,2808638
325,2834862
326,2964550
327,2989800
328,2904075
329,2893706
330,2888944
331,2756593
332,2742152
333,2709218
334,2513640
335,2703466
336,2590093
337,2549242
338,2475698
339,2642476
340,2644339
341,1814824
342,1767371
343,1837714
344,1740668
345,1765735
346,1681992
347,1787242
348,1809187
349,1854283
350,1705249
351,685948
352,585815
353,710884
354,572183
355,626972
356,597034
357,721439
358,658579
359,593611
360,557951
361,2884032
362,2972073
363,2868283
364,2925454
365,2859813
366,2940585
367,2905788
368,2882032
369,2913006
370,2976458
371,2794328
372,2824007
373,2747081
374,2763063
375,2761113
376,2678099
377,2751188
378,2676662
379,2709344
380,2667545
381,1814647
382,1835138
383,1807896
384,1778198
385,1858030
386,1815263
387,1836876
388,1728210
389,1708695
390,1737975
391,528095
392,505008
393,481794
394,529862
395,587669
396,581713
397,558007
398,644797
399,531630
400,527225
401,2931457
402,2962243
403,2897035
404,2906335
405,2817125
406,2928269
407,2910339
408,2902026
409,2922479
410,3005208
411,2693140
412,2734949
413,2742247
414,2715984
415,2645299
416,2736880
417,2713334
418,2736996
419,2717029
420,2773988
421,1850835
422,1792433
423,1782670
424,1755460
425,1708232
426,1787641
427,1839020
428,1803082
429,1745319
430,1768153
431,539834
432,457954
433,435892
434,617551
435,581718
436,510475
437,472344
438,682832
439,562025
440,603628
441,2909450
442,2906594
443,2915705
444,2897947
445,2996494
446,2950789
447,2980631
448,2927837
