Instance,Costs
1,922600
2,947404
3,965373
4,935421
5,964112
6,965280
7,1001288
8,982335
9,991024
10,950301
11,922251
12,882517
13,882289
14,872850
15,902025
16,882989
17,868289
18,957450
19,888025
20,872601
21,654464
22,590304
23,612641
24,610293
25,666124
26,626387
27,613631
28,648249
29,579953
30,651531
31,218403
32,231768
33,326543
34,211547
35,288007
36,277567
37,344818
38,237078
39,303117
40,220337
41,1050800
42,993662
43,969681
44,989131
45,954079
46,985045
47,993522
48,915314
49,1021913
50,1010071
51,924317
52,915195
53,877930
54,954994
55,921593
56,953398
57,948110
58,890122
59,892234
60,900131
61,641429
62,569718
63,520017
64,597974
65,580726
66,576025
67,639445
68,616837
69,570403
70,592999
71,156005
72,172383
73,186872
74,168776
75,180688
76,228758
77,272130
78,198649
79,191474
80,245323
81,940654
82,966831
83,987029
84,971977
85,954826
86,936643
87,960382
88,971007
89,978480
90,912716
91,899185
92,895237
93,956913
94,875591
95,929734
96,897340
97,931759
98,904567
99,873267
100,934489
101,566656
102,564582
103,577032
104,606985
105,552379
106,585095
107,602035
108,581886
109,600337
110,576734
111,189977
112,171892
113,194525
114,225660
115,225794
116,328212
117,202601
118,161099
119,180404
120,148171
121,893220
122,1044394
123,987692
124,967151
125,939306
126,994845
127,990506
128,985957
129,1022204
130,971435
131,932672
132,928864
133,931740
134,958154
135,948292
136,943018
137,894115
138,936642
139,871702
140,958936
141,607952
142,594723
143,599628
144,625157
145,590188
146,599959
147,556943
148,581956
149,596590
150,610101
151,168767
152,241060
153,246584
154,215555
155,187540
156,162122
157,152413
158,242836
159,181612
160,200778
161,1827449
162,1909503
163,1843603
164,1893991
165,1890994
166,2049213
167,1960169
168,1846008
169,1890430
170,1944312
171,1848622
172,1812752
173,1798022
174,1818639
175,1747580
176,1843225
177,1817574
178,1713736
179,1800063
180,1767433
181,1217986
182,1201198
183,1242286
184,1243523
185,1167782
186,1128783
187,1157069
188,1162442
189,1208483
190,1250220
191,517177
192,384427
193,471718
194,406267
195,548098
196,500886
197,489750
198,459593
199,559234
200,355870
201,1885129
202,1936064
203,1951012
204,2011886
205,1990262
206,1977425
207,1970594
208,1944048
209,1882214
210,1948609
211,1844619
212,1844175
213,1766103
214,1873395
215,1861856
216,1861374
217,1834610
218,1887331
219,1775863
220,1813951
221,1160777
222,1246658
223,1236284
224,1133099
225,1192777
226,1293117
227,1150538
228,1133991
229,1168544
230,1169095
231,436281
232,410029
233,372033
234,301825
235,395804
236,476461
