Instance,Costs
1,922381
2,945627
3,965685
4,935140
5,962632
6,965611
7,999385
8,982121
9,990710
10,949558
11,925916
12,886004
13,882956
14,870920
15,904375
16,882469
17,867935
18,957629
19,886433
20,865731
21,613615
22,628481
23,622814
24,599547
25,638297
26,604986
27,620470
28,651476
29,578137
30,654550
31,236548
32,233277
33,371581
34,212729
35,243812
36,244895
37,322913
38,186703
39,283637
40,198797
41,1055709
42,995503
43,975147
44,990627
45,956395
46,989886
47,996586
48,919435
49,1024901
50,1011438
51,930158
52,933146
53,890534
54,967591
55,940344
56,968894
57,960913
58,902404
59,912897
60,920510
61,724279
62,627585
63,550063
64,653193
65,665203
66,664493
67,699167
68,708660
69,633100
70,680213
71,152553
72,177024
73,230410
74,165418
75,206498
76,229847
77,291282
78,216939
79,204234
80,220860
81,951297
82,973094
83,997862
84,979844
85,965057
86,946715
87,969048
88,978998
89,989067
90,918686
91,940192
92,933653
93,1005865
94,917884
95,965555
96,926015
97,958538
98,950369
99,919135
100,980994
101,700406
102,648981
103,653662
104,732071
105,643535
106,646323
107,691574
108,664924
109,675417
110,676501
111,167549
112,175312
113,194229
114,234082
115,230006
116,351422
117,205811
118,150429
119,181306
120,142040
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036118
141,736412
142,681875
143,673780
144,728732
145,654460
146,723348
147,638856
148,675309
149,712287
150,681745
151,171102
152,178849
153,256248
154,202562
155,199069
156,155690
157,140982
158,248421
159,187286
160,205066
161,1825499
162,1908761
163,1838859
164,1894531
165,1891207
166,2047885
167,1960647
168,1844410
169,1888243
170,1944326
171,1848964
172,1816900
173,1795514
174,1806602
175,1746562
176,1838112
177,1820125
178,1708156
179,1797669
180,1749637
181,1214908
182,1191382
183,1211993
184,1235078
185,1119787
186,1144827
187,1156364
188,1177556
189,1207552
190,1225965
191,520337
192,439477
193,479915
194,351682
195,561127
196,556831
197,418971
198,404009
199,480508
200,314826
201,1890568
202,1941166
203,1953639
204,2019696
205,1998505
206,1985216
207,1978096
208,1949372
209,1890105
210,1954388
211,1876601
212,1874690
213,1797981
214,1898024
215,1892996
216,1890476
217,1875759
218,1909795
219,1797390
220,1841859
221,1304463
222,1341712
223,1355426
224,1265846
225,1289575
226,1438689
227,1297352
228,1238034
229,1295340
230,1268371
231,385360
232,401645
233,348138
234,266660
235,363292
236,424781
237,414528
238,356746
239,412035
240,371888
241,1965521
242,1943787
243,1908485
244,1949780
245,1904903
246,1965614
247,1931651
248,2004738
249,1931684
250,1951662
251,1938733
252,1857112
253,1914606
254,1950265
255,1943326
256,1955715
257,1917633
258,1970243
259,1933721
260,1794472
261,1350925
262,1365896
263,1349866
264,1380790
265,1359619
266,1325645
