Instance,Costs
1,923306
2,945610
3,965085
4,935908
5,963220
6,965223
7,999527
8,981213
9,991324
10,950120
11,925345
12,891629
13,880858
14,874240
15,906046
16,884428
17,872014
18,954676
19,882500
20,864866
21,625865
22,628481
23,595639
24,593355
25,677399
26,604327
27,619322
28,664140
29,578280
30,648802
31,229531
32,229425
33,364284
34,222115
35,249089
36,271574
37,306759
38,213040
39,256555
40,217285
41,1054957
42,995554
43,975227
44,990493
45,957090
46,989902
47,996986
48,920049
49,1024904
50,1011664
51,933098
52,933332
53,891520
54,967591
55,939569
56,970153
57,960015
58,902644
59,912897
60,921553
61,709466
62,680616
63,587798
64,686941
65,711968
66,664493
67,731756
68,703026
69,632406
70,656508
71,191492
72,253878
73,246297
74,184796
75,188174
76,295851
77,316166
78,239563
79,216402
80,234738
81,951297
82,973094
83,997862
84,980031
85,965057
86,946715
87,969048
88,978998
89,989067
90,918686
91,940321
92,933653
93,1005865
94,917948
95,965555
96,926215
97,958538
98,950369
99,919135
100,980994
101,764171
102,734834
103,745690
104,782459
105,712030
106,679481
107,764458
108,788788
109,813223
110,747574
111,179388
112,187402
113,199892
114,234082
115,249341
116,371670
117,217136
118,167031
119,207634
120,143704
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036118
141,940094
142,772929
143,805446
144,867954
145,819907
146,852095
147,799094
148,767251
149,866390
150,803724
151,180202
152,168946
153,300560
154,202562
155,240108
156,159683
157,155418
158,248991
159,198533
160,213799
161,1825546
162,1908124
163,1838859
164,1895157
165,1891819
166,2048711
167,1960824
168,1844410
169,1888243
170,1944550
171,1848017
172,1818331
173,1794863
174,1815579
175,1745865
176,1843362
177,1825157
178,1707150
179,1797669
180,1749811
181,1219964
182,1216478
183,1230165
184,1235595
185,1119384
186,1133353
187,1153865
188,1168673
189,1193231
190,1219430
191,499588
192,413880
193,455923
194,351682
195,571535
196,510054
197,382156
198,463123
199,483738
200,287793
201,1890568
202,1941178
203,1953610
204,2020711
205,1998233
206,1985216
207,1978245
208,1949644
209,1890447
210,1954606
211,1877843
212,1874676
213,1798678
214,1898024
215,1893482
216,1889342
217,1876376
218,1909795
219,1797390
220,1841552
221,1365994
222,1406222
223,1405516
224,1306550
225,1352826
226,1436064
227,1349617
228,1310328
229,1310335
230,1292743
231,396535
232,419707
233,384963
234,278602
235,381251
236,430029
237,472907
238,359733
239,412035
240,379513
241,1965521
242,1943837
243,1908494
244,1949780
245,1904903
246,1965614
247,1931651
248,2004398
249,1931684
250,1952084
251,1938733
252,1857112
253,1914606
254,1950549
255,1942922
256,1955715
257,1917633
258,1970243
259,1933721
260,1794472
261,1583164
262,1511002
263,1600793
264,1493258
265,1512055
266,1454485
267,1503354
268,1603130
269,1500745
270,1433698
271,424313
272,314533
273,417457
274,326912
275,467122
276,402825
277,420137
278,345197
279,321505
280,378829
281,2013847
282,2001229
283,1897999
284,1959339
285,2004526
286,1954104
287,2047298
288,1973567
289,1998237
290,2008588
291,1966536
292,1983841
293,1941011
294,1992255
295,1914651
296,2026362
297,1938640
298,1956030
299,1893317
300,2077337
301,1631882
302,1756817
303,1757577
304,1605962
305,1694629
306,1798557
307,1833012
308,1681739
309,1687944
310,1597056
311,396246
312,546797
313,362019
314,347954
315,315271
316,365596
317,391887
318,428640
319,316894
320,487009
321,2665277
322,2871579
323,2788429
324,2808961
325,2834103
326,2960748
327,2985008
328,2903985
329,2888689
330,2889552
331,2754786
332,2738978
333,2711282
334,2507498
335,2688883
336,2582227
337,2550407
338,2476516
339,2632021
340,2641312
341,1801096
342,1748725
343,1812443
344,1729437
345,1726093
346,1619581
347,1773818
348,1757417
349,1849331
350,1691618
351,614597
352,513449
353,792148
354,516677
355,469846
356,635532
357,685799
358,732397
359,489931
360,541132
361,2894586
362,2981849
363,2883058
364,2938504
365,2870247
366,2951822
367,2914331
368,2894888
369,2923524
370,2988306
371,2829527
372,2874775
373,2786331
374,2797405
375,2817108
376,2720137
377,2800609
378,2714619
379,2752814
380,2723053
381,2067481
382,1984319
383,2059239
384,1945098
385,2038934
386,1972287
387,2042594
388,1912622
389,1916722
390,1920223
391,551160
392,526788
393,464319
394,562196
395,547301
396,582353
397,537633
398,550570
399,532558
400,493085
401,2961019
402,2992048
403,2919294
404,2926211
405,2837443
406,2965067
407,2934609
408,2934723
409,2957384
410,3032997
411,2791523
412,2907343
413,2865147
414,2869799
415,2778957
416,2884767
417,2849982
418,2849475
419,2831992
420,2936025
421,2410809
422,2359902
423,2291048
424,2358977
425,2180218
426,2347877
427,2293518
428,2350300
429,2320058
430,2202313
431,539057
432,463737
433,399327
434,608087
435,581842
436,518027
437,492313
438,676380
439,520735
440,555745
441,2959956
442,2957084
443,2969501
444,2943634
445,3052707
446,2998204
447,3030810
448,2970481
449,2973594
450,2957830
451,3043164
452,2948818
453,2965878
454,2986308
455,2923721
456,2967909
457,2923767
458,2878290
459,3061982
460,3014368
461,2595534
462,2313546
463,2700843
464,2707746
465,2760329
466,2553634
467,2694487
468,2589024
469,2565210
470,2552812
471,499698
472,483871
473,640060
474,537636
475,616673
476,616281
477,534104
478,456416
479,707030
480,596160
481,5025337
482,4743526
483,4890719
484,4874245
485,4875010
486,4919321
487,4866589
488,4715099
489,4927520
490,4913473
491,4461591
492,4600993
493,4604147
494,4610705
495,4503648
496,4201886
497,4636301
498,4566692
499,4582796
500,4450201
501,2953080
502,2934333
503,2843130
504,2866895
505,2929399
506,3014350
507,2995610
508,2792674
509,2682460
510,2945803
511,806132
512,1006691
513,900036
514,670204
515,1012111
516,1126781
517,850266
518,887751
519,989304
520,1085053
521,4910726
522,4948116
523,4925201
524,4901157
525,4902867
526,4853997
527,4944857
528,4758451
529,5007171
530,4922052
531,4621652
532,4588609
533,4670557
534,4564132
535,4710737
536,4582657
537,4726712
538,4541017
539,4550777
540,4556227
541,3426967
542,3175043
543,3335587
544,3445502
545,3229661
546,3291572
547,3242157
548,3324900
549,3210171
550,3283035
551,827077
