Instance,Costs
1,925304
2,947101
3,965380
4,938061
5,964359
6,965782
7,1004314
8,984483
9,991805
10,951904
11,931413
12,902134
13,900712
14,887342
15,907049
16,894216
17,874635
18,967539
19,886790
20,877760
21,662450
22,681624
23,655211
24,630193
25,679411
26,651088
27,650193
28,698693
29,613436
30,741168
31,315091
32,361485
33,455225
34,321679
35,367381
36,319157
37,444984
38,281748
39,349288
40,418639
41,1058131
42,999114
43,977329
44,992071
45,958114
46,992263
47,998915
48,921558
49,1028371
50,1014883
51,945001
52,944266
53,898438
54,973522
55,955013
56,988964
57,972119
58,910961
59,932783
60,939317
61,702266
62,708718
63,684877
64,754986
65,762125
66,744292
67,792872
68,776803
69,697364
70,733646
71,481203
72,411304
73,616870
74,387252
75,549014
76,521020
77,486658
78,511108
79,508757
80,441103
81,951726
82,975361
83,997913
84,980010
85,964994
86,948309
87,971475
88,978064
89,990622
90,925539
91,926181
92,940485
93,1008537
94,925195
95,999233
96,963406
97,986468
98,962465
99,932465
100,993013
101,863644
102,903504
103,725569
104,913705
105,811557
106,887087
107,808969
108,780505
109,777125
110,781177
111,752486
112,707210
113,668852
114,798915
115,1037072
116,846813
117,544420
118,651366
119,707593
120,667680
121,901909
122,1059437
123,1002336
124,981810
125,954328
126,1012001
127,1011780
128,1000163
129,1035508
130,989741
131,982808
132,1004256
133,1023008
134,1039672
135,1028621
136,1011786
137,1000754
138,1031805
139,955399
140,1042812
141,1081541
142,1080805
143,960135
144,953497
145,979428
146,900507
147,1011945
148,996213
149,940951
150,980305
151,845091
152,844336
153,663613
154,984764
155,1058547
156,1023900
157,914141
158,1054750
159,732076
160,1095031
161,1829551
162,1910872
163,1843037
164,1901152
165,1895543
166,2050091
167,1963225
168,1846819
169,1890591
170,1944479
171,1851253
172,1818125
173,1811419
174,1825202
175,1759377
176,1849455
177,1837890
178,1727033
179,1824833
180,1763540
181,1258359
182,1249528
183,1284487
184,1281233
185,1234012
186,1227643
187,1206378
188,1286388
189,1240904
190,1292442
191,549327
192,657385
193,571502
194,621609
195,668887
196,627993
197,645187
198,599191
199,782190
200,511507
201,1893653
202,1943397
203,1961799
204,2023211
205,2002342
206,1990825
207,1983522
208,1956191
209,1894752
210,1957843
211,1890121
212,1893449
213,1799784
214,1911232
215,1920662
216,1889941
217,1887696
218,1934831
219,1824190
220,1856272
221,1314393
222,1629163
223,1466143
224,1375568
225,1385329
226,1499419
227,1324795
228,1383569
229,1419032
230,1327716
231,957802
232,863398
233,750805
234,669260
235,833139
236,740995
237,951680
238,820164
239,812224
240,692193
241,1966150
242,1946457
243,1910107
244,1952566
245,1907477
246,1966252
247,1935601
248,2009774
249,1932014
250,1951480
251,1982515
252,1910200
253,1975279
254,1987264
255,1997522
256,1967354
257,1920075
258,1976220
259,1999805
260,1846046
261,1685906
262,1644808
263,1682066
264,1888477
265,1642995
266,1760399
267,1551008
268,1699529
269,1674475
270,1677571
271,1414601
272,1499983
273,1175546
274,1146749
275,1670834
276,1358267
277,1633540
278,1210576
279,1586526
280,1178530
281,2013847
282,2001229
283,1897999
284,1962263
285,2004526
286,1946228
287,2047298
288,1973567
289,2002331
290,2012428
291,1971535
292,2062128
293,1985133
294,1992255
295,1914651
296,2043813
297,1971316
298,1920446
299,1913186
300,2031329
301,1979454
302,1996928
303,1901382
304,1963344
305,1944913
306,2064040
307,1976774
308,2048489
309,1856043
310,2162996
311,1615200
312,1760246
313,1546815
314,1987802
315,1913607
316,2146837
317,1928385
318,2047333
319,1684206
320,1780331
321,2670457
322,2875398
323,2793767
324,2814286
325,2839374
326,2963284
327,2988447
328,2912385
329,2889462
330,2892451
331,2763654
332,2753850
333,2724808
334,2529164
335,2711255
336,2599527
337,2570305
338,2494175
339,2651379
340,2654638
341,1844843
342,1850914
343,1906232
344,1793728
345,1799051
346,1729150
347,1876128
348,1834761
349,1961989
350,1843035
351,868907
352,677295
353,987236
354,838967
355,815135
356,953908
357,871578
358,900739
359,938063
360,615313
361,2899970
362,2986331
363,2888315
364,2941393
365,2876712
366,2956579
367,2926606
368,2898246
369,2927102
370,2991476
371,2842293
372,2896314
373,2809956
374,2872315
375,2811435
376,2725990
377,2836234
378,2742335
379,2774517
380,2747564
381,2124147
382,2282821
383,2117519
384,2065337
385,2221847
386,2046962
387,2137366
388,2020859
389,2124853
390,1971778
391,1194467
392,1209124
393,973681
394,1133920
395,1313581
396,1422068
397,1313827
398,1317894
399,1035052
400,1139633
401,2966607
402,2995821
403,2925268
404,2926145
405,2839688
406,2968954
407,2940292
408,2939748
409,2958929
410,3039571
411,2869872
412,2898017
413,2887472
414,2882412
415,2797384
416,2916494
417,2871528
418,2842326
419,2905617
420,2931812
421,2726646
422,2677476
423,2596263
424,2477546
425,2552221
426,2391355
427,2613370
428,2652906
429,2436889
430,2541226
431,2122509
432,1693804
433,1832194
434,2055799
435,1835203
436,1622765
437,1667354
438,2117473
439,2617313
440,1866918
441,2961872
442,2957084
443,2969501
444,2944255
445,3052707
446,2998204
447,3030810
448,2973542
449,2975282
450,2961610
451,3071378
452,2957430
453,2965878
454,3033861
455,2930133
456,2967909
457,2969456
458,2909395
459,3068252
460,3014368
461,2805177
462,2781103
463,2846707
464,2900770
465,2865017
466,3051847
467,3142887
468,2691961
469,3009651
470,2886528
471,2780672
472,2295880
473,3037131
474,2963626
475,2675410
476,3126051
477,2882739
478,3063946
479,2705359
480,3119128
481,5031786
482,4750887
483,4893109
484,4878599
485,4879666
486,4923464
487,4871666
488,4720413
489,4932518
490,4917577
491,4491257
492,4634550
493,4623518
494,4638736
495,4541127
496,4237695
497,4668648
498,4611904
499,4625162
500,4480791
501,3027981
502,3037817
503,2937123
504,2956870
505,3022730
506,3086518
507,3085199
508,2953558
509,2964833
510,3144328
511,1020068
512,1520135
513,1175032
514,1227045
515,1537713
516,1403255
517,1131015
518,1259075
519,1339008
520,1165147
521,4918725
522,4953452
523,4936707
524,4911198
525,4906702
526,4865736
527,4946331
528,4759778
529,5013391
530,4925366
531,4649700
532,4646828
533,4726613
534,4590867
535,4718253
536,4611455
537,4748492
538,4577921
539,4621500
540,4567363
541,3498991
542,3264663
543,3562734
544,3373833
545,3509998
546,3337274
547,3453044
548,3472365
549,3315935
550,3301802
551,2120670
552,2030351
553,1452779
554,2020313
555,2143354
556,2053451
557,2034367
558,1751915
559,1955537
560,2047412
561,5011435
562,4990449
563,4966627
564,4875552
565,4838515
566,5008061
567,5012015
568,4996366
569,4957679
570,4981321
571,4811482
572,4835285
573,4768730
574,4797394
575,4773860
576,4671028
577,4921121
578,5030216
579,4902206
580,4875185
581,4119090
582,4374735
583,4217133
584,4138936
585,4213661
586,3710193
587,4224290
588,4126129
589,4163283
590,4273420
591,3086861
592,3267295
593,3559996
594,3131439
595,3927793
596,3979800
597,3343871
598,2644625
599,3444912
600,3706440
601,4886806
602,4951687
603,4983359
604,4889614
605,5074070
606,4972247
607,4911768
608,4888652
609,4950176
610,5094535
611,4948271
612,4862710
613,5154020
614,5019234
615,4950252
616,5045561
617,5043850
618,5016025
619,4927607
620,4820380
621,4958030
622,5062563
623,4953467
624,4577213
625,4864918
626,4943815
627,4828127
628,5010837
629,5024332
630,4941070
631,5395890
632,4918121
633,5569266
634,5066112
635,5114222
636,4301966
637,4276211
638,4605757
639,4609977
640,4335888
