Instance,Costs,Costs,Minimum
1,930988,937406,930988
2,956855,963124,956855
3,975065,987510,975065
4,944271,954818,944271
5,971151,981602,971151
6,976192,986819,976192
7,1009297,1020513,1009297
8,991591,1004315,991591
9,1000672,1017301,1000672
10,956236,964408,956236
11,937147,959171,937147
12,902250,919214,902250
13,913279,923902,913279
14,898059,945967,898059
15,907087,33369,33369
16,900907,926610,900907
17,883606,903231,883606
18,979010,1006360,979010
19,908840,945393,908840
20,877499,914085,877499
21,634424,689275,634424
22,647476,697517,647476
23,644157,750887,644157
24,659356,711874,659356
25,698110,762257,698110
26,612888,763015,612888
27,635494,788567,635494
28,656191,787011,656191
29,601858,731855,601858
30,703265,778776,703265
31,241651,424974,241651
32,312690,585796,312690
33,354044,669288,354044
34,274021,545442,274021
35,326657,511240,326657
36,304256,398480,304256
37,327781,561995,327781
38,243917,361934,243917
39,350052,464449,350052
40,313083,455748,313083
41,1063048,1076618,1063048
42,1005390,1016494,1005390
43,981991,991197,981991
44,996861,1013827,996861
45,963930,969249,963930
46,1002011,1015537,1002011
47,1000166,1008684,1000166
48,927128,938462,927128
49,1034133,1047728,1034133
50,1019880,1030350,1019880
51,969067,1006566,969067
52,957338,973243,957338
53,919127,958492,919127
54,988639,1043408,988639
55,961118,983177,961118
56,996055,1036547,996055
57,984960,1018452,984960
58,920839,946730,920839
59,944656,969280,944656
60,934063,976467,934063
61,768832,771331,768832
62,735794,876275,735794
63,629862,759893,629862
64,690558,783388,690558
65,751412,902536,751412
66,719993,907272,719993
67,771224,864591,771224
68,759527,955415,759527
69,678562,760644,678562
70,748894,789839,748894
71,472709,730677,472709
72,407881,608981,407881
73,513253,689218,513253
74,373645,529882,373645
75,434280,829130,434280
76,478762,810208,478762
77,470952,657068,470952
78,486432,809171,486432
79,458788,750917,458788
80,385508,555055,385508
81,955195,967926,955195
82,980824,986927,980824
83,1001098,1015563,1001098
84,986465,999901,986465
85,971432,985100,971432
86,946847,963083,946847
87,970754,979070,970754
88,980938,992633,980938
89,992677,1006990,992677
90,924517,934336,924517
91,951216,976131,951216
92,943349,983799,943349
93,1007351,1059021,1007351
94,926412,984795,926412
95,1005911,1102946,1005911
96,967344,1063844,967344
97,1001393,1068903,1001393
98,958223,1026713,958223
99,940572,1024911,940572
100,1017498,1079331,1017498
101,853751,1135956,853751
102,866267,1129064,866267
103,708143,840134,708143
104,872039,1201689,872039
105,793025,1032211,793025
106,878897,1182016,878897
107,768186,1015831,768186
108,775269,981850,775269
109,775300,927529,775300
110,752355,939744,752355
111,697958,1241181,697958
112,699878,1218177,699878
113,667560,1175105,667560
114,775524,1354360,775524
115,864713,1566616,864713
116,869493,1283728,869493
117,489529,815937,489529
118,688929,1082947,688929
119,728060,1209856,728060
120,679875,1247009,679875
121,903390,913560,903390
122,1059437,1074480,1059437
123,1002336,1016980,1002336
124,981810,996469,981810
125,956813,974572,956813
126,1012001,1029157,1012001
127,1011780,1033054,1011780
128,1000145,1015439,1000145
129,1035508,1048812,1035508
130,991421,1013915,991421
