Instance,KSAM!,KSAM2,Minimum,,,
1,931173,934266,931173,,,
2,957825,956353,956353,,,489 better results
3,977954,977489,977489,,,
4,946692,946799,946692,,,
5,973102,976039,973102,,,
6,977273,978106,977273,,,
7,1013067,1010734,1010734,,,
8,993933,991429,991429,,,
9,1006444,1003577,1003577,,,
10,957426,957429,957426,,,
11,945386,954170,945386,,,
12,910456,910009,910009,,,
13,913114,905577,905577,,,
14,904367,906640,904367,,,
15,931156,926182,926182,,,
16,903916,897799,897799,,,
17,882284,889831,882284,,,
18,984865,982861,982861,,,
19,922224,923355,922224,,,
20,889557,906586,889557,,,
21,657034,642603,642603,,,
22,655632,635963,635963,,,
23,659265,618419,618419,,,
24,658879,659777,658879,,,
25,690530,721640,690530,,,
26,640781,633536,633536,,,
27,638516,693751,638516,,,
28,665453,684728,665453,,,
29,598899,613678,598899,,,
30,682786,688172,682786,,,
31,240822,228598,228598,,,
32,328765,347433,328765,,,
33,371968,406978,371968,,,
34,318983,322811,318983,,,
35,321628,298334,298334,,,
36,304256,289468,289468,,,
37,346858,365314,346858,,,
38,225722,226504,225722,,,
39,351968,335844,335844,,,
40,309972,308310,308310,,,
41,1065710,1066942,1065710,,,
42,1005343,1005251,1005251,,,
43,983924,981143,981143,,,
44,999992,1001479,999992,,,
45,964272,963137,963137,,,
46,1002486,1001598,1001598,,,
47,1004781,1003038,1003038,,,
48,928184,928729,928184,,,
49,1035680,1037113,1035680,,,
50,1023511,1021282,1021282,,,
51,964567,968361,964567,,,
52,967883,965106,965106,,,
53,922858,923084,922858,,,
54,1009748,1008066,1008066,,,
55,967836,957098,957098,,,
56,998784,1004613,998784,,,
57,988087,983123,983123,,,
58,934363,923552,923552,,,
59,950036,943033,943033,,,
60,941732,944921,941732,,,
61,726507,709012,709012,,,
62,735769,727387,727387,,,
63,632018,661070,632018,,,
64,694428,690282,690282,,,
65,734539,764293,734539,,,
66,741766,722530,722530,,,
67,784664,783944,783944,,,
68,752523,775935,752523,,,
69,678562,677312,677312,,,
70,728330,708401,708401,,,
71,429384,441615,429384,,,
72,423349,374100,374100,,,
73,479704,425934,425934,,,
74,373645,344640,344640,,,
75,441144,502677,441144,,,
76,486170,534360,486170,,,
77,470952,480858,470952,,,
78,458132,485468,458132,,,
79,435148,444073,435148,,,
80,346621,374162,346621,,,
81,955195,955195,955195,,,
82,981148,981231,981148,,,
83,1001989,1001296,1001296,,,
84,986542,985972,985972,,,
85,972126,972519,972126,,,
86,946847,949863,946847,,,
87,972006,971869,971869,,,
88,980938,981820,980938,,,
89,992677,992735,992677,,,
90,923785,925403,923785,,,
91,950157,954080,950157,,,
92,943097,935633,935633,,,
93,1005689,1008222,1005689,,,
94,945770,941650,941650,,,
95,1003206,1015234,1003206,,,
96,982334,981797,981797,,,
97,1001393,1000252,1000252,,,
98,960819,965640,960819,,,
99,946323,950049,946323,,,
100,1017604,1013236,1013236,,,
101,853751,884715,853751,,,
102,866267,855252,855252,,,
103,737274,720463,720463,,,
104,872039,927329,872039,,,
105,793025,792295,792295,,,
106,878897,877259,877259,,,
107,780611,841858,780611,,,
108,788783,795893,788783,,,
109,809334,786821,786821,,,
110,752355,762256,752355,,,
111,715598,702086,702086,,,
112,699878,762444,699878,,,
113,673590,668805,668805,,,
114,775524,789274,775524,,,
115,874409,899483,874409,,,
116,872803,804188,804188,,,
117,489529,509269,489529,,,
118,663210,613693,613693,,,
119,728060,693324,693324,,,
120,679875,691343,679875,,,
121,903390,903390,903390,,,
122,1059437,1059437,1059437,,,
123,1002336,1002336,1002336,,,
124,981810,981810,981810,,,
125,956869,956869,956869,,,
126,1012001,1012001,1012001,,,
127,1011780,1011780,1011780,,,
128,1000698,1000698,1000698,,,
129,1035508,1035508,1035508,,,
130,992675,992675,992675,,,
131,996699,998748,996699,,,
132,1007852,1001795,1001795,,,
133,1028641,1029302,1028641,,,
134,1043560,1044520,1043560,,,
135,1024295,1036146,1024295,,,
136,1011786,1011786,1011786,,,
137,1000524,1002666,1000524,,,
138,1031805,1031805,1031805,,,
139,955233,955351,955233,,,
140,1063899,1074180,1063899,,,
141,1081541,1081541,1081541,,,
142,1080805,1080805,1080805,,,
143,962778,978211,962778,,,
144,1003208,972067,972067,,,
145,964034,972882,964034,,,
146,900507,900507,900507,,,
147,1003385,987005,987005,,,
148,996213,996213,996213,,,
149,938949,940393,938949,,,
150,980305,980305,980305,,,
151,721151,755576,721151,,,
152,852255,885083,852255,,,
153,624645,666141,624645,,,
154,985359,985359,985359,,,
155,1058547,1058547,1058547,,,
156,1023900,1023900,1023900,,,
157,914141,914141,914141,,,
158,1016030,1016030,1016030,,,
159,696817,761347,696817,,,
160,1095031,1095031,1095031,,,
161,1847669,1844796,1844796,,,
162,1927661,1929750,1927661,,,
163,1860963,1862701,1860963,,,
164,1916114,1916173,1916114,,,
165,1913566,1915562,1913566,,,
166,2073831,2072366,2072366,,,
167,1977810,1980142,1977810,,,
168,1872456,1871965,1871965,,,
169,1907955,1908895,1907955,,,
170,1966909,1966206,1966206,,,
171,1898861,1886780,1886780,,,
172,1875329,1870433,1870433,,,
173,1821818,1835113,1821818,,,
174,1866783,1885293,1866783,,,
175,1778958,1776403,1776403,,,
176,1891216,1877608,1877608,,,
177,1862407,1881408,1862407,,,
178,1763911,1768110,1763911,,,
179,1856453,1855225,1855225,,,
180,1811167,1821708,1811167,,,
181,1334831,1287566,1287566,,,
182,1297523,1230839,1230839,,,
183,1332525,1298449,1298449,,,
184,1301466,1279748,1279748,,,
185,1202549,1165733,1165733,,,
186,1213329,1177771,1177771,,,
187,1293467,1237294,1237294,,,
188,1301719,1162455,1162455,,,
189,1280971,1221895,1221895,,,
190,1305980,1286269,1286269,,,
191,608989,620720,608989,,,
192,458206,435452,435452,,,
193,465868,420302,420302,,,
194,465729,460150,460150,,,
195,644301,700156,644301,,,
196,570266,620674,570266,,,
197,599798,569942,569942,,,
198,513758,535882,513758,,,
199,565528,600341,565528,,,
200,474866,475661,474866,,,
201,1909496,1907870,1907870,,,
202,1959524,1965145,1959524,,,
203,1973703,1974271,1973703,,,
204,2040370,2042572,2040370,,,
205,2021721,2022719,2021721,,,
206,2004062,2004735,2004062,,,
207,2001806,2001774,2001774,,,
208,1970212,1970802,1970212,,,
209,1907438,1908082,1907438,,,
210,1987228,1986436,1986436,,,
211,1921982,1906568,1906568,,,
212,1955561,1941191,1941191,,,
213,1839537,1849571,1839537,,,
214,1954808,1935385,1935385,,,
215,1960851,1952248,1952248,,,
216,1957374,1937497,1937497,,,
217,1905221,1911184,1905221,,,
218,1976639,1978514,1976639,,,
219,1841929,1855970,1841929,,,
220,1910072,1911364,1910072,,,
221,1347247,1308570,1308570,,,
222,1549740,1560677,1549740,,,
223,1501264,1456210,1456210,,,
224,1427776,1340731,1340731,,,
225,1356675,1368340,1356675,,,
226,1543575,1500623,1500623,,,
227,1392332,1344824,1344824,,,
228,1382968,1351446,1351446,,,
229,1446474,1405337,1405337,,,
230,1369059,1353867,1353867,,,
231,928922,827059,827059,,,
