Instance,Costs
1,937406
2,963124
3,987510
4,954818
5,981602
6,986819
7,1020513
8,1004315
9,1017301
10,964408
11,959171
12,919214
13,923902
14,945967
15,33369
16,926610
17,903231
18,1006360
19,945393
20,914085
21,689275
22,697517
23,750887
24,711874
25,762257
26,763015
27,788567
28,787011
29,731855
30,778776
31,424974
32,585796
33,669288
34,545442
35,511240
36,398480
37,561995
38,361934
39,464449
40,455748
41,1076618
42,1016494
43,991197
44,1013827
45,969249
46,1015537
47,1008684
48,938462
49,1047728
50,1030350
51,1006566
52,973243
53,958492
54,1043408
55,983177
56,1036547
57,1018452
58,946730
59,969280
60,976467
61,771331
62,876275
63,759893
64,783388
65,902536
66,907272
67,864591
68,955415
69,760644
70,789839
71,730677
72,608981
73,689218
74,529882
75,829130
76,810208
77,657068
78,809171
79,750917
80,555055
81,967926
82,986927
83,1015563
84,999901
85,985100
86,963083
87,979070
88,992633
89,1006990
90,934336
91,976131
92,983799
93,1059021
94,984795
95,1102946
96,1063844
97,1068903
98,1026713
99,1024911
100,1079331
101,1135956
102,1129064
103,840134
104,1201689
105,1032211
106,1182016
107,1015831
108,981850
109,927529
110,939744
111,1241181
112,1218177
113,1175105
114,1354360
115,1566616
116,1283728
117,815937
118,1082947
119,1209856
120,1247009
121,913560
122,1074480
123,1016980
124,996469
125,974572
126,1029157
127,1033054
128,1015439
129,1048812
130,1013915
131,1051712
132,1082398
133,1118624
134,1117950
135,1116436
136,1080554
137,1111217
138,1126968
139,1039000
140,1167592
141,1555130
142,1567394
143,1357359
144,1325655
145,1360070
146,1203213
147,1417067
148,1410470
149,1284196
150,1364909
151,1351889
152,1610816
153,1108114
154,1769796
155,1929946
156,1893145
157,1688457
158,1793581
159,1343968
160,1995680
161,1860440
162,1947305
163,1881444
164,1934976
165,1935453
166,2088739
167,1994221
168,1888505
169,1929644
170,1976369
171,1909256
172,1888831
173,1844779
174,1946451
175,1812890
176,1928957
177,1891066
178,1838163
179,1855851
180,1857779
181,1534255
182,1461638
183,1420870
184,1479458
185,1344575
186,1276455
187,1271658
188,1239697
189,1270556
190,1474534
191,813661
192,821289
193,494937
194,838892
195,952343
196,850407
197,1087992
198,954523
199,1125538
200,896445
201,1919693
202,1982010
203,1996070
204,2068968
205,2046494
206,2023325
207,2025884
208,1989796
209,1921970
210,2005140
211,1940485
212,1994459
213,1897223
214,1951263
215,2005012
216,1988716
217,1933898
218,2021791
219,1911589
220,1979453
221,1436311
222,1797749
223,1594956
224,1580641
225,1526965
226,1675677
227,1434692
228,1579350
229,1634368
230,1549609
231,1277178
232,1358691
233,1083063
234,1159267
235,1237950
236,1047052
237,1267017
238,1013901
239,1190617
240,1016159
241,1994835
242,1984067
243,1942887
244,1987835
245,1941395
246,2008170
247,1971949
248,2051915
249,1972735
250,1991084
251,2159927
252,2093176
253,2082171
254,2105202
255,2172954
256,2075582
257,2022702
258,2153765
259,2131688
260,1975411
261,2211820
262,2051727
263,2271077
264,2351809
265,2129032
266,2337552
267,1938066
268,2097599
269,2156411
270,2087089
271,2301225
272,2662356
273,2162692
274,1971551
275,2771681
276,2151589
277,2464719
278,1958291
279,2632162
280,2005324
281,2044893
282,2035425
283,1932601
284,2002894
285,2033754
286,1979525
287,2086666
288,2005910
289,2029766
290,2050235
291,2092025
292,2257403
293,2150126
294,2128896
295,2069523
296,2151872
297,2128276
298,2037755
299,2104156
300,2198615
301,2714778
302,2829010
303,2577654
304,2776361
305,2713375
306,2925825
307,2743536
308,2925679
309,2591369
310,3139927
311,2626584
312,2729856
313,2771299
314,3560277
315,3277212
316,3937850
317,3357844
318,3694310
319,3068779
320,3011590
321,2728734
322,2931659
323,2844076
324,2847196
325,2886870
326,3021312
327,3056980
328,2963914
329,2956452
330,2943622
331,2860396
332,2833488
333,2859108
334,2654910
335,2820870
336,2715147
337,2678204
338,2591140
339,2831871
340,2746461
341,1866441
342,2155181
343,2056100
344,2096403
345,1949146
346,2051530
347,2228141
348,2108194
349,2053447
350,2079939
351,1635235
352,1121986
353,1075196
354,1374092
355,1213940
356,1087885
357,1021896
358,1446028
359,1396540
360,776925
361,2950330
362,3023085
363,2929655
364,3002102
365,2923985
366,3004943
367,2983476
368,2957266
369,3002244
370,3057948
371,3007250
372,3029655
373,2977059
374,2962330
375,2910041
376,2876636
377,2970280
378,2846002
379,2876676
380,2864235
381,2328909
382,2335722
383,2351648
384,2297622
385,2354154
386,2264295
387,2425495
388,2203364
389,2433180
390,2193953
391,1770604
392,1532783
393,1100400
394,1629336
395,2114832
396,1823038
397,1849050
398,1704235
399,1480654
400,1747044
401,3010501
402,3056433
403,2983409
404,2992551
405,2889527
406,3031757
407,2993453
408,3002418
409,3006091
410,3117894
411,3024930
412,3124055
413,3095595
414,3125354
415,2971301
416,3089646
417,3087078
418,3088226
419,3119887
420,3121650
421,3436039
422,3499853
423,3226161
424,3224918
425,3364126
426,3055290
427,3187702
428,3458797
429,3056395
430,3331209
431,3277106
432,2939406
433,3162531
434,3493808
435,3180662
436,2511225
437,3079862
438,3592161
439,4563560
440,3232264
441,3021902
442,3007574
443,3023297
444,2992741
445,3108920
446,3045619
447,3080989
448,3014667
449,3014641
450,3006049
451,3299568
452,3208901
453,3223878
454,3218106
455,3155346
456,3175578
457,3218330
458,3101558
459,3335293
460,3259136
461,3782505
462,3868973
463,3942088
464,4002562
465,3904457
466,4352026
467,4378628
468,3635863
469,4094830
470,4064694
471,4873174
472,3594058
473,5354845
474,5402847
475,4644982
476,5666585
477,5323019
478,5630076
479,4762441
480,5607303
481,5115444
482,4821758
483,4962833
484,4978852
485,4973566
486,5001063
487,4943424
488,4826024
489,5030772
490,5010291
491,4709275
492,4933319
493,4779631
494,4748632
495,4776982
496,4411023
497,4808563
498,4809475
499,4744091
500,4574688
501,3086999
502,3649576
503,3423297
504,3536658
505,3316667
506,3258407
507,3293248
508,3458397
509,3372300
510,3771686
511,1883157
512,2001952
513,2191178
514,1971105
515,1618476
516,1505697
517,2180447
518,1965722
519,1953257
520,1701407
521,5028809
522,5068470
523,5019222
524,5002806
525,5012877
526,4978060
527,5076447
528,4888360
529,5100828
530,4995446
531,4877239
532,4836363
533,5019218
534,4803100
535,4951915
536,4872524
537,4951069
538,4837568
539,4827751
540,4821653
541,3791825
542,3639972
543,4180098
544,3725527
545,4205197
546,3786165
547,3927278
548,3929637
549,3782740
550,3851712
551,2775611
552,2772423
553,2101192
554,3243893
555,3150914
556,2872655
557,2834913
558,2220728
559,2970252
560,2937943
561,5128742
562,5107058
563,5067695
564,4982611
565,4936512
566,5082973
567,5120894
568,5112342
569,5057115
570,5080743
571,5188418
572,5203725
573,5062711
574,5060444
575,5117578
576,4878087
577,5320638
578,5404017
579,5214003
580,5178528
581,5055686
582,5813142
583,5240229
584,5238896
585,5613311
586,4443804
587,5464754
588,5250596
589,5013902
590,5449808
591,4740478
592,5445623
593,5681957
594,5085790
595,6533357
596,6512826
597,5875513
598,4385110
599,5724258
600,6181705
601,4969256
602,5037466
603,5059142
604,4974361
605,5156775
606,5052753
607,4994945
608,4970983
609,5010830
610,5178536
611,5325218
612,5277095
613,5577217
614,5452563
615,5383415
616,5445044
617,5474265
618,5451112
619,5320133
620,5192113
621,6971090
622,7222729
623,6774557
624,6323007
625,6444577
626,6893370
627,6682513
628,7189713
629,6587297
630,6972391
631,9901766
632,8814663
633,10071822
634,9149093
635,9346383
636,7351531
637,7486406
638,7944127
639,8169754
640,7414655
