Instance,Costs
1,934266
2,956353
3,977489
4,946799
5,976039
6,978106
7,1010734
8,991429
9,1003577
10,957429
11,954170
12,910009
13,905577
14,906640
15,926182
16,897799
17,889831
18,982861
19,923355
20,906586
21,642603
22,635963
23,618419
24,659777
25,721640
26,633536
27,693751
28,684728
29,613678
30,688172
31,228598
32,347433
33,406978
34,322811
35,298334
36,289468
37,365314
38,226504
39,335844
40,308310
41,1066942
42,1005251
43,981143
44,1001479
45,963137
46,1001598
47,1003038
48,928729
49,1037113
50,1021282
51,968361
52,965106
53,923084
54,1008066
55,957098
56,1004613
57,983123
58,923552
59,943033
60,944921
61,709012
62,727387
63,661070
64,690282
65,764293
66,722530
67,783944
68,775935
69,677312
70,708401
71,441615
72,374100
73,425934
74,344640
75,502677
76,534360
77,480858
78,485468
79,444073
80,374162
81,955195
82,981231
83,1001296
84,985972
85,972519
86,949863
87,971869
88,981820
89,992735
90,925403
91,954080
92,935633
93,1008222
94,941650
95,1015234
96,981797
97,1000252
98,965640
99,950049
100,1013236
101,884715
102,855252
103,720463
104,927329
105,792295
106,877259
107,841858
108,795893
109,786821
110,762256
111,702086
112,762444
113,668805
114,789274
115,899483
116,804188
117,509269
118,613693
119,693324
120,691343
121,903390
122,1059437
123,1002336
124,981810
125,956869
126,1012001
127,1011780
128,1000698
129,1035508
130,992675
131,998748
132,1001795
133,1029302
134,1044520
135,1036146
136,1011786
137,1002666
138,1031805
139,955351
140,1074180
141,1081541
142,1080805
143,978211
144,972067
145,972882
146,900507
147,987005
148,996213
149,940393
150,980305
151,755576
152,885083
153,666141
154,985359
155,1058547
156,1023900
157,914141
158,1016030
159,761347
160,1095031
161,1844796
162,1929750
163,1862701
164,1916173
165,1915562
166,2072366
167,1980142
168,1871965
169,1908895
170,1966206
171,1886780
172,1870433
173,1835113
174,1885293
175,1776403
176,1877608
177,1881408
178,1768110
179,1855225
180,1821708
181,1287566
182,1230839
183,1298449
184,1279748
185,1165733
186,1177771
187,1237294
188,1162455
189,1221895
190,1286269
191,620720
192,435452
193,420302
194,460150
195,700156
196,620674
197,569942
198,535882
199,600341
200,475661
201,1907870
202,1965145
203,1974271
204,2042572
205,2022719
206,2004735
207,2001774
208,1970802
209,1908082
210,1986436
211,1906568
212,1941191
213,1849571
214,1935385
215,1952248
216,1937497
217,1911184
218,1978514
219,1855970
220,1911364
221,1308570
222,1560677
223,1456210
224,1340731
225,1368340
226,1500623
227,1344824
228,1351446
229,1405337
230,1353867
231,827059
232,816425
233,665629
234,729519
235,789499
236,708938
237,817271
238,666925
239,799329
240,636704
241,1978249
242,1957206
243,1916527
244,1960452
245,1915316
246,1978793
247,1947989
248,2022994
249,1943425
250,1963595
251,2023472
252,1940285
253,1954460
254,2004774
255,2030992
256,1961881
257,1917783
258,2047145
259,2009216
260,1859027
261,1685377
262,1652887
263,1725773
264,1798305
265,1676866
266,1742362
267,1548265
268,1654732
269,1661415
270,1614382
271,1374680
272,1485282
273,1281234
274,1116340
275,1599850
276,1235833
277,1411360
278,1150903
279,1475969
280,1181679
281,2013847
282,2001229
283,1897999
284,1965294
285,2004526
286,1948350
287,2047298
288,1973567
289,2003802
290,2012189
291,1964277
292,2062128
293,1985133
294,1992255
295,1914651
296,2046591
297,1971316
298,1920446
299,1943635
300,2047570
301,1984958
302,2028828
303,1889263
304,1946303
305,1944913
306,2064040
307,1948245
308,2048489
309,1857000
310,2162996
311,1500365
312,1601695
313,1558056
314,1944362
315,1792320
316,2146837
317,1870143
318,2047333
319,1684206
320,1721602
321,2699327
322,2902218
323,2819138
324,2833394
325,2863445
326,2998590
327,3024194
328,2941841
329,2924760
330,2918229
331,2822242
332,2802253
333,2808711
334,2593208
335,2763648
336,2635797
337,2610273
338,2534709
339,2743356
340,2729270
341,1865227
342,1877671
343,1919160
344,1853110
345,1843494
346,1749902
347,1887150
348,1822200
349,1913015
350,1813128
351,851928
