Instance,Costs
1,922474
2,946233
3,965331
4,936512
5,964022
6,966113
7,1000505
8,981800
9,990419
10,951014
11,924572
12,890795
13,881727
14,877562
15,903640
16,883453
17,874996
18,955434
19,886594
20,870593
21,610758
22,633857
23,611713
24,629315
25,674940
26,623471
27,617893
28,651958
29,583810
30,647670
31,226170
32,264924
33,301586
34,228027
35,270134
36,279934
37,334745
38,192785
39,347707
40,287938
41,1053762
42,996444
43,974393
44,991876
45,959320
46,989133
47,997807
48,918093
49,1024192
50,1012520
51,936687
52,925792
53,891073
54,970098
55,936700
56,975568
57,961250
58,901281
59,906422
60,917471
61,702165
62,630771
63,594736
64,683218
65,709342
66,751791
67,728886
68,726527
69,645560
70,675200
71,310467
72,241443
73,369955
74,326065
75,302400
76,430963
77,457044
78,349611
79,354465
80,370321
81,947658
82,971668
83,996253
84,979341
85,962871
86,944069
87,970192
88,977141
89,984361
90,918738
91,927131
92,933443
93,981845
94,907058
95,961810
96,931588
97,969055
98,933186
99,900897
100,964486
101,780795
102,781777
103,789127
104,838277
105,691372
106,741510
107,739360
108,711882
109,787297
110,739145
111,553102
112,360828
113,507352
114,434898
115,582916
116,664697
117,542370
118,406209
119,496875
120,408886
121,901250
122,1054021
123,999389
124,976141
125,947403
126,1006794
127,999606
128,997409
129,1034925
130,985419
131,977247
132,993120
133,984409
134,1022855
135,1015630
136,1011786
137,953613
138,997708
139,913488
140,1020098
141,832885
142,869300
143,875614
144,993062
145,920481
146,751727
147,884912
148,821944
149,845616
150,824047
151,730515
152,681586
153,647226
154,778851
155,749799
156,779306
157,611135
158,938266
159,590888
160,606433
161,1825740
162,1909311
163,1840069
164,1894731
165,1891678
166,2048808
167,1959286
168,1845584
169,1888559
170,1945905
171,1845748
172,1823653
173,1798732
174,1818677
175,1754636
176,1836001
177,1828996
178,1715638
179,1806919
180,1757866
181,1253034
182,1214872
183,1263453
184,1229173
185,1131504
186,1198900
187,1185650
188,1169577
189,1214053
190,1261439
191,626382
192,410569
193,498579
194,467250
195,613661
196,532424
197,462943
198,428583
199,532895
200,359646
201,1889414
202,1941116
203,1955180
204,2018009
205,1995413
206,1984693
207,1975800
208,1951568
209,1887502
210,1956866
211,1872845
212,1873276
213,1804715
214,1906385
215,1890693
216,1898989
217,1869753
218,1922115
219,1821256
220,1853199
221,1359192
222,1438842
223,1327473
224,1362477
225,1396313
226,1419960
227,1284289
228,1253965
229,1302252
230,1337018
231,684322
232,674617
233,635453
234,498859
235,630398
236,684028
237,869182
238,596926
239,622928
240,552074
241,1961695
242,1942638
243,1904601
244,1941630
245,1905052
246,1961570
247,1931031
248,2003182
249,1928527
250,1948608
251,1928708
252,1873300
253,1917831
254,1920664
255,1962896
256,1932448
257,1918298
258,1966832
259,1957151
260,1773582
261,1544898
262,1562953
263,1517317
264,1527622
265,1641283
266,1472120
267,1573084
268,1588339
269,1514801
270,1563392
271,1187006
272,1194151
273,1125947
274,1057723
275,1277044
276,971988
277,1219751
278,1336071
279,1144026
280,1231760
281,2004468
282,1990448
283,1890256
284,1949879
285,2004526
286,1942386
287,2038016
288,1970068
289,2000791
290,2003256
291,1963851
292,1988017
293,1941011
294,1992255
295,1883462
296,2054281
