Instance,Costs
1,921631
2,945458
3,965082
4,934799
5,963449
6,965661
7,999856
8,981120
9,990581
10,949838
11,921470
12,888843
13,881178
14,873751
15,901503
16,882036
17,867808
18,956854
19,882351
20,865738
21,625865
22,606799
23,594640
24,598490
25,677399
26,601837
27,619456
28,662931
29,578280
30,651815
31,238971
32,228840
33,348239
34,199620
35,249598
36,290958
37,320091
38,213070
39,288055
40,208022
41,1054161
42,995441
43,975411
44,990886
45,956533
46,990803
47,997298
48,919213
49,1024505
50,1011706
51,933098
52,933332
53,891156
54,967060
55,939569
56,969471
57,960015
58,902644
59,912964
60,920570
61,723744
62,680616
63,587430
64,688563
65,724012
66,664493
67,730321
68,699078
69,645062
70,673006
71,163938
72,212882
73,227783
74,170588
75,200258
76,285931
77,283650
78,242960
79,204234
80,234738
81,951297
82,973094
83,997862
84,979710
85,963847
86,946715
87,969048
88,979395
89,989067
90,918374
91,941411
92,933653
93,1005865
94,917948
95,965555
96,926215
97,958538
98,950369
99,919135
100,980994
101,766303
102,734834
103,745690
104,782537
105,712276
106,679481
107,713112
108,761775
109,813223
110,748794
111,179388
112,175312
113,192270
114,226838
115,234457
116,371670
117,205811
118,165969
119,197866
120,143704
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036118
141,940094
142,772929
143,806769
144,842734
145,799887
146,852095
147,799094
148,732481
149,840297
150,803724
151,171102
152,169194
153,272445
154,204622
155,202609
156,155690
157,147618
158,248991
159,192323
160,213799
161,1825262
162,1907651
163,1839398
164,1893694
165,1891201
166,2047919
167,1958354
168,1843845
169,1888043
170,1943396
171,1846945
172,1815615
173,1795364
174,1812735
175,1748632
176,1847810
177,1820659
178,1708165
179,1797976
180,1751201
181,1217733
182,1188912
183,1245337
184,1232917
185,1119384
186,1159087
187,1153907
188,1186228
189,1192745
190,1208524
191,580691
192,420871
193,506238
194,402903
195,593781
196,486446
197,428778
198,497221
199,458482
200,304723
201,1890438
202,1940523
203,1953463
204,2018044
205,1997222
206,1985727
207,1977177
208,1950196
209,1889829
210,1953255
211,1875546
212,1873445
213,1798678
214,1898024
215,1894218
216,1889994
217,1875050
218,1909635
219,1800971
220,1839444
221,1399940
222,1406222
223,1405644
224,1306550
225,1352305
226,1425303
227,1354247
228,1300784
229,1306863
230,1292743
231,382735
232,414155
233,362786
234,266292
235,380267
236,423547
237,450776
238,354111
239,412035
240,382702
241,1965414
242,1943787
243,1908485
