Instance,Costs
1,921742
2,946986
3,966300
4,938951
5,965485
6,966749
7,1001074
8,984528
9,991269
10,951414
11,932483
12,910319
13,882857
14,881531
15,913351
16,884776
17,872432
18,960723
19,901433
20,873492
21,690376
22,631863
23,618250
24,637875
25,725455
26,633583
27,687354
28,682605
29,607411
30,646830
31,317582
32,324427
33,370501
34,295117
35,283936
36,338424
37,333639
38,228831
39,411866
40,374108
41,1055481
42,996085
43,973790
44,992361
45,955974
46,991311
47,998581
48,922128
49,1026300
50,1016302
51,947441
52,944362
53,899117
54,991883
55,955449
56,991857
57,976665
58,922588
59,906109
60,929704
61,822915
62,752091
63,675176
64,684315
65,687649
66,752236
67,771212
68,713483
69,696782
70,748074
71,583605
72,351846
73,352116
74,442253
75,585529
76,509547
77,764150
78,402707
79,374142
80,437003
81,952313
82,976049
83,996350
84,983617
85,964339
86,949253
87,970338
88,978483
89,988312
90,920006
91,944038
92,929752
93,998648
94,923711
95,975361
96,938913
97,973428
98,957838
99,905926
100,978423
101,815118
102,787245
103,709157
104,823825
105,790873
106,882109
107,804852
108,744847
109,871139
110,861745
111,658039
112,658525
113,691053
114,676950
115,681642
116,661611
117,760241
118,723690
119,780005
120,698129
121,901784
122,1055463
123,999018
124,976290
125,947726
126,1006788
127,1002696
128,998166
129,1033105
130,984676
131,996564
132,1002510
133,1000770
134,1023562
135,1016073
136,1006874
137,957026
138,1012328
139,941722
140,1030790
141,1044286
142,942443
143,896962
144,991412
145,956985
146,972665
147,958700
148,906576
149,948880
150,874743
151,817087
152,914182
153,721292
154,1033258
155,888178
156,792010
157,798800
158,734935
159,976045
160,635185
161,1825782
162,1912294
163,1841547
164,1896643
165,1896545
166,2051082
167,1962093
168,1846729
169,1890561
170,1949081
171,1868221
172,1832300
173,1813238
174,1825351
175,1753417
176,1838847
177,1837179
178,1722842
179,1811974
180,1768791
181,1298608
182,1234938
183,1300560
184,1324057
185,1133290
186,1219282
187,1250496
188,1192921
189,1303851
190,1262631
191,688836
192,371511
193,614922
194,469176
195,751522
196,641048
197,543243
198,403623
199,662674
200,484132
201,1893618
202,1949671
203,1960358
204,2022015
205,1999281
206,1988526
207,1982554
208,1952104
209,1894197
210,1959636
211,1907630
212,1911344
213,1823797
214,1912095
215,1919119
216,1900902
217,1893439
218,1929014
219,1852649
220,1885603
221,1496732
222,1549680
223,1477491
224,1427474
225,1460942
226,1522867
227,1514844
228,1328587
229,1375881
230,1370672
231,934298
232,889528
233,1074291
234,862655
235,971679
236,785165
237,831243
238,910170
239,852187
240,845625
241,1961160
242,1944457
243,1909961
244,1947608
245,1907021
246,1967341
247,1935807
248,2010612
249,1937776
250,1948024
251,1955383
252,1880235
253,1943922
254,1972169
255,1971753
256,1912264
257,1893681
258,1986631
259,1968583
260,1819834
261,1607524
262,1650034
263,1697069
264,1594765
265,1683869
266,1511737
267,1658501
268,1776458
269,1511986
270,1601058
271,1165045
272,1076351
273,1258091
274,1385384
275,1241757
276,1159223
277,1122266
278,1386962
279,1232306
280,1334560
281,2011186
282,1995013
283,1888250
284,1952765
285,2007457
286,1944913
287,2033748
288,1969740
289,2003352
290,2000644
291,1983600
292,2013194
293,1962013
294,1994589
295,1884403
296,2050106
297,1946846
298,1919064
299,1910926
300,2026858
301,1724995
302,1838673
303,1813599
304,1773643
305,1967360
306,1865501
307,1930644
308,1954999
309,1913775
310,1749955
311,1642064
312,1870572
313,1611352
314,1708605
315,1619698
316,1865764
317,1769513
318,1659509
319,1655205
320,1825655
321,2666414
322,2875737
323,2789046
324,2817797
325,2837017
326,2963246
327,2988818
328,2906653
329,2892311
330,2892626
331,2783786
332,2769238
333,2737391
334,2516761
335,2714979
336,2580707
337,2552123
338,2482662
339,2654512
340,2670143
341,1940359
342,1918900
343,2008760
344,1842638
345,1853839
346,1641971
347,1880232
348,1840175
349,1974384
350,1782985
351,783000
352,919294
353,957798
354,769592
355,598031
356,757473
357,911028
358,703104
359,610750
360,755396
361,2898701
362,2990087
363,2881218
364,2941960
365,2871135
366,2957904
367,2919032
368,2897079
369,2932838
370,2994049
371,2889890
372,2892350
373,2829033
374,2844203
375,2848056
376,2762522
377,2834662
378,2755179
379,2786627
380,2743618
381,2212696
382,2134336
383,2247090
384,2238299
385,2264551
386,2197241
387,2166421
388,2134229
389,2071377
390,2067072
391,1262790
392,1209198
393,1119208
394,1248550
395,1032542
396,1406895
397,1201284
398,1085748
399,1022579
400,1538255
401,2957074
402,2987078
403,2925180
404,2942137
405,2842160
406,2949698
407,2937724
408,2931789
409,2953979
410,3030633
411,2813238
412,2883482
413,2876040
414,2834063
415,2815391
416,2853998
417,2869238
418,2880496
419,2844860
420,2923369
421,2586072
422,2474900
423,2538903
424,2359059
425,2398764
426,2552379
427,2543224
428,2435866
429,2312845
430,2297551
431,1570359
432,1968918
433,1948441
