Instance,Costs
1,923317
2,947267
3,965292
4,936761
5,964013
6,965635
7,1003001
8,983684
9,992449
10,950928
11,922211
12,883007
13,890120
14,880617
15,905497
16,893242
17,867799
18,962921
19,892727
20,876698
21,638848
22,632697
23,694359
24,615549
25,695665
26,621357
27,662766
28,693621
29,612757
30,708285
31,220211
32,254025
33,427336
34,319296
35,371943
36,379540
37,355684
38,244023
39,287267
40,253838
41,1050800
42,993586
43,969681
44,989131
45,954079
46,985090
47,993522
48,915314
49,1022109
50,1010050
51,924525
52,914981
53,879151
54,954994
55,921593
56,954755
57,948110
58,890122
59,892234
60,900131
61,635251
62,572025
63,520017
64,593628
65,580726
66,576025
67,639445
68,615059
69,574136
70,592999
71,152553
72,172175
73,218283
74,162448
75,187018
76,228758
77,273889
78,198649
79,189773
80,217293
81,940654
82,966831
83,987029
84,971977
85,954826
86,936643
87,960382
88,971007
89,978480
90,912716
91,899185
92,895237
93,956913
94,875591
95,929734
96,897340
97,931759
98,904567
99,873267
100,934489
101,566430
102,564582
103,576152
104,606985
105,552379
106,575778
107,602035
108,581628
109,600337
110,576734
111,162991
112,171803
113,186607
114,224188
115,222662
116,324648
117,202601
118,144439
119,176792
120,135677
121,893220
122,1044394
123,987692
124,967151
125,939306
126,994845
127,990506
128,985957
129,1022204
130,971435
131,932672
132,928864
133,931740
134,958154
135,948292
136,943018
137,894115
138,936642
139,871702
140,958936
141,607952
142,594216
143,599063
144,618479
145,590188
146,597801
147,556943
148,581956
149,596590
150,595701
151,159263
152,159350
153,240090
154,200922
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1827688
162,1911125
163,1841898
164,1898005
165,1892955
166,2050632
167,1961463
168,1848243
169,1891146
170,1943851
171,1845063
172,1815450
173,1797005
174,1817747
175,1754331
176,1848951
177,1825397
178,1719223
179,1803168
180,1761875
181,1260116
182,1268495
183,1277383
184,1303716
185,1215336
186,1192093
187,1168681
188,1207033
189,1258774
190,1274664
191,535314
192,435542
193,488468
194,470235
195,672435
196,533315
197,583034
198,727343
199,711796
200,405142
201,1885135
202,1936064
203,1951012
204,2012036
205,1990262
206,1977425
207,1970652
208,1944048
209,1882214
210,1948884
211,1844619
212,1844175
213,1766103
214,1873395
215,1861888
216,1862202
217,1834610
218,1887939
219,1775863
220,1813951
221,1160777
222,1255477
223,1247575
224,1133099
225,1188235
226,1290535
227,1149448
228,1132174
229,1152412
230,1160349
231,408746
232,393013
233,339669
234,255359
235,355360
236,431700
237,405665
238,349533
239,417583
240,358615
241,1946415
242,1930213
243,1888967
244,1931495
245,1889237
246,1948266
247,1914919
248,1987379
249,1914115
250,1935908
251,1854733
252,1786932
253,1844617
254,1868338
255,1873364
256,1840448
257,1812864
258,1893161
259,1875796
260,1728061
261,1144058
262,1191039
263,1167831
264,1205621
265,1189402
266,1147172
267,1158464
268,1176595
269,1124231
270,1141675
271,400615
272,288306
273,399776
274,326829
275,410355
276,385021
277,391435
278,343515
279,309168
280,357158
281,1982801
282,1967033
283,1863397
284,1927694
285,1975298
286,1916761
287,2007930
288,1941224
289,1977838
290,1974143
291,1838167
292,1866853
293,1820140
294,1855614
295,1759779
296,1916000
297,1814356
298,1803137
299,1776130
300,1899857
301,1206194
302,1231150
303,1198820
304,1116245
305,1176451
306,1202255
307,1222330
308,1171299
309,1120453
310,1186065
311,374146
312,474110
313,344813
314,328447
315,308172
316,355824
317,382442
318,400356
319,299633
320,431614
321,2668349
322,2875807
323,2791772
324,2808780
325,2838873
326,2967061
327,2987674
328,2906894
329,2890239
330,2889884
331,2770760
332,2753373
333,2728594
334,2519998
335,2707405
336,2591398
337,2565079
338,2492181
339,2656826
340,2647183
341,1824471
342,1853471
343,1820050
344,1891486
345,1753032
346,1692603
347,1844885
348,1824329
349,1889355
350,1819519
351,790055
352,610502
353,818337
354,748986
355,724973
356,603140
357,697776
358,891424
359,839416
360,775534
361,2884032
362,2972073
363,2868283
364,2925454
365,2859833
366,2940585
367,2905788
368,2882032
369,2913006
370,2976458
371,2794328
372,2824007
373,2747081
374,2764643
375,2761113
376,2678450
377,2751188
378,2676662
379,2709344
380,2667545
381,1792361
382,1832191
383,1803150
384,1755720
385,1842080
386,1799955
387,1825931
388,1728210
389,1705146
390,1721337
391,510428
392,469173
393,455784
394,529862
395,522000
396,558852
397,513312
398,532977
399,517498
400,473732
401,2931457
402,2962243
403,2897035
404,2906335
405,2817125
406,2928269
407,2910339
408,2902026
409,2922479
410,3005208
411,2693140
412,2734949
413,2742247
414,2715984
415,2645299
416,2736880
417,2713334
418,2736996
419,2717029
420,2773988
421,1850835
422,1786005
423,1779153
424,1754168
425,1697136
426,1770774
427,1824446
428,1779139
429,1722239
430,1756563
431,526458
432,450442
433,386989
434,597510
435,549188
436,490887
437,456340
438,655027
439,510946
440,530774
441,2909450
442,2906594
443,2915705
444,2897947
445,2996494
446,2950789
447,2980631
448,2927837
449,2934141
450,2911505
451,2832512
452,2705959
453,2707878
454,2818448
455,2704920
456,2760240
457,2767504
458,2697206
459,2801211
460,2769600
461,1757621
462,1693233
463,1769924
464,1739448
465,1768839
466,1751668
467,1893530
468,1733027
469,1792920
470,1708362
471,481806
472,469882
473,610931
474,524405
475,593080
476,585517
477,516779
478,431656
479,648277
480,572673
481,5028103
482,4741381
