Instance,Costs
1,924180
2,950204
3,969059
4,938975
5,967038
6,970627
7,1005964
8,987542
9,992676
10,953113
11,935888
12,901178
13,897487
14,887417
15,917661
16,893918
17,881089
18,962916
19,893864
20,881728
21,665165
22,656905
23,636471
24,612528
25,702639
26,636227
27,650634
28,672131
29,613048
30,698358
31,253413
32,320617
33,399453
34,329663
35,310249
36,305136
37,341390
38,232432
39,356572
40,294945
41,1056401
42,999494
43,979989
44,991957
45,960199
46,992577
47,997922
48,921243
49,1026841
50,1014551
51,951097
52,940704
53,896443
54,979148
55,953087
56,985623
57,971788
58,912168
59,924705
60,932429
61,717457
62,733348
63,641842
64,694639
65,718340
66,742623
67,746754
68,753050
69,660479
70,711492
71,448854
72,419280
73,479704
74,368087
75,445723
76,506786
77,461300
78,453992
79,428406
80,381798
81,952175
82,974278
83,997964
84,980030
85,965153
86,948496
87,970480
88,979334
89,989645
90,928434
91,928233
92,945681
93,1008313
94,917599
95,1000496
96,962217
97,985928
98,956192
99,932591
100,993257
101,841661
102,862922
103,710243
104,871523
105,787011
106,878897
107,775697
108,775269
109,740973
110,752739
111,697958
112,699878
113,645701
114,788970
115,868667
116,812635
117,477361
118,650162
119,689648
120,691431
121,901702
122,1059437
123,1002336
124,981810
125,955716
126,1012001
127,1011780
128,1000514
129,1035508
130,989455
131,985240
132,1003118
133,1011086
134,1038610
135,1024295
136,1011786
137,1000904
138,1031805
139,955345
140,1039945
141,1081541
142,1080805
143,964412
144,1000682
145,966758
146,900507
147,1002269
148,996213
149,938949
150,980305
151,721151
152,836595
153,624645
154,985359
155,1058547
156,1023900
157,914141
158,1016030
159,703012
160,1095031
161,1831218
162,1912369
163,1842636
164,1898765
165,1897670
166,2052479
167,1962212
168,1848433
169,1892210
170,1946178
171,1855286
172,1818033
173,1811232
174,1827860
175,1752733
176,1861877
177,1830921
178,1717728
179,1811400
180,1766479
181,1274533
182,1233451
183,1264280
184,1237358
185,1151199
186,1224930
187,1203898
188,1219628
189,1254553
190,1271599
191,598176
192,499900
193,468012
194,447760
195,632133
196,609820
197,586339
198,531501
199,560189
200,479971
201,1893269
202,1946113
203,1958661
204,2023262
205,2004162
206,1989802
207,1980151
208,1952968
209,1893093
210,1957596
211,1886609
212,1880832
213,1804221
214,1912842
215,1916914
216,1882762
217,1876666
218,1949439
219,1825765
220,1857434
221,1295350
222,1548728
223,1512349
224,1386682
225,1355494
226,1448213
227,1314533
228,1371140
229,1413244
230,1338753
231,873768
232,764282
233,644401
234,693555
235,789710
236,744928
237,825217
238,739540
239,785352
240,650614
241,1966194
242,1945840
243,1910327
244,1951504
245,1908394
246,1964953
247,1934773
248,2010790
249,1932918
250,1951867
251,1984327
252,1909903
253,1966508
254,1976184
255,2000874
256,1958897
257,1919026
258,1976700
259,1986844
260,1844629
261,1711890
262,1612741
263,1683824
264,1783692
265,1645139
266,1738145
267,1557811
268,1644420
269,1646171
270,1620268
271,1349252
272,1447253
273,1260399
274,1111296
275,1628255
276,1212723
277,1565706
278,1193010
279,1461553
280,1188004
281,2013847
282,2001229
283,1897999
284,1963561
285,2004526
286,1947833
287,2047298
288,1973567
289,2001912
290,2010632
291,1973159
292,2062128
293,1985133
294,1992255
295,1914651
296,2035887
297,1971316
298,1920446
299,1908576
300,2022030
301,1951323
302,1962922
303,1901509
304,1933881
305,1944913
306,2064040
307,1931859
308,2048489
309,1865293
310,2162996
311,1469902
312,1657038
313,1556694
314,1944362
315,1792923
316,2146837
317,1853448
318,2047333
319,1684206
320,1721602
321,2669712
322,2876521
323,2795196
324,2813223
325,2838914
326,2966553
327,2990898
328,2910399
329,2893079
330,2895297
331,2777216
332,2761611
333,2728655
334,2526908
335,2706000
336,2595500
337,2561744
338,2489934
339,2662565
340,2656060
341,1811225
342,1801800
343,1896987
344,1821268
345,1789382
346,1698982
347,1830107
348,1845993
349,1897253
350,1814701
351,872349
352,740197
353,829428
354,762034
355,618343
356,828970
357,807031
358,802491
359,781394
360,619039
361,2898100
362,2985612
363,2884138
364,2939129
365,2877975
366,2957276
367,2923951
368,2898663
369,2927529
370,2993591
371,2836467
372,2897994
373,2814628
374,2843028
375,2804948
376,2727030
377,2821837
378,2741387
379,2767153
380,2744674
381,2074192
382,2180828
383,2087034
384,2014595
385,2108394
386,2001640
387,2109969
388,1986978
389,2062669
390,1955728
391,1083293
392,1032140
393,833045
394,1111316
395,1293966
396,1129607
397,1130069
398,1161161
399,975285
400,1138050
401,2963508
402,2996315
403,2922768
404,2926087
405,2839982
406,2968186
407,2940996
408,2940402
409,2958231
410,3040407
411,2860367
412,2902273
413,2893548
414,2877591
415,2794413
416,2895433
417,2872431
418,2844171
419,2900240
420,2934563
421,2682326
422,2592280
423,2510670
424,2480186
425,2526292
426,2396480
427,2502123
428,2654467
429,2413564
430,2541226
431,1975633
432,1700764
433,1773837
434,2014029
435,1943417
436,1503689
437,1693756
438,2058687
439,2553103
440,1845515
441,2960222
442,2957084
443,2969501
444,2945245
445,3052707
446,2998204
447,3030810
448,2972555
449,2976687
450,2963409
451,3062420
452,2957430
453,2965878
454,3014682
455,2930133
456,2967909
457,2960406
458,2908351
459,3068252
460,3014368
461,2741097
462,2781103
463,2841988
464,2855672
465,2765430
466,3051847
467,3045077
468,2667925
469,2942601
470,2886528
471,2604906
472,2018684
473,2982888
474,2963626
475,2619031
476,3126051
477,2919899
478,3030866
479,2705359
480,3089988
481,5030546
482,4749294
483,4892666
484,4878141
485,4879581
486,4923404
487,4869841
488,4719104
489,4932293
490,4916852
491,4478588
492,4626743
493,4631468
494,4642678
495,4536221
496,4235881
497,4664134
498,4594069
499,4604185
500,4459615
501,3012089
502,3042943
503,2933136
504,2947189
505,3010317
506,3064704
507,3055828
508,2957319
509,2879928
510,3052281
511,957762
512,1371452
513,1143973
514,1029281
515,1266379
516,1250216
517,1108135
518,1058357
519,1214740
520,1236788
521,4918401
522,4953255
523,4928550
524,4906139
525,4912174
526,4867368
527,4945244
528,4762107
529,5012961
530,4926023
531,4643202
532,4634766
533,4728619
534,4590092
535,4697825
536,4614762
537,4736427
538,4573154
539,4628674
540,4567938
541,3425312
542,3207399
543,3520593
544,3287889
545,3505186
546,3328092
547,3427005
548,3392303
549,3310258
550,3294716
551,1805875
552,1874262
553,1448487
554,2010744
555,2084386
556,1984855
557,1924295
558,1575077
559,1910132
560,1890640
561,5011560
562,4988931
563,4966002
564,4871577
565,4838895
566,5007714
567,5009657
568,4997442
569,4957915
570,4980742
571,4814313
572,4843114
573,4774732
574,4793549
575,4742695
576,4675625
577,4922613
578,5030788
579,4894821
580,4866504
581,4014496
582,4379078
583,4084987
584,4089065
585,4193459
586,3646463
587,4169548
588,4128449
589,4005264
590,4229900
591,2947922
592,3171539
593,3491010
594,3014439
595,3690850
596,3672789
597,3285471
598,2565779
599,3322056
600,3484823
601,4887990
602,4951687
603,4983359
604,4889614
605,5073134
606,4972247
607,4911475
608,4888652
609,4949438
610,5094535
611,4946187
612,4863169
613,5154020
614,5002813
615,4950252
616,5044841
617,5029798
618,5016025
619,4924779
620,4820380
621,4958030
622,5062563
623,4931422
624,4526635
625,4765910
626,4943815
627,4828127
628,5010837
629,4893507
630,4941070
631,5395890
632,4861952
633,5489716
634,5024100
635,5114222
636,4208249
637,4179233
638,4471668
639,4537348
640,4169523
