RCMC,,RCWMC,,WPCM-1,,WPCM-2,,UPCM,,WUPCM1-TCM,,WUPCM2-TCM,,MGMM,,RCSPCM,,VAM,,KSAM,,RAM,,MDM,,SDM,,MT,,JHM,,IVAM,
TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM-MT,TOCM-MT,TCM,TOCM,TCM,TOCM
14,14,13,20,7,8,24,24,27,24,3,3,18,10,19,21,11,11,1,2,34,33,22,22,29,30,17,14,5,5,31,31,28,9
20,20,9,1,9,2,16,16,16,16,8,4,31,31,26,15,11,11,6,3,33,34,30,27,25,28,22,29,13,13,23,23,5,7
18,18,31,31,14,8,1,9,1,9,7,15,11,11,24,28,20,5,4,3,34,33,29,27,16,16,22,22,20,5,25,25,13,30
24,23,17,17,15,13,11,4,11,4,3,6,1,1,10,14,26,16,8,8,34,33,22,21,27,27,29,30,25,20,31,31,19,7
26,29,10,10,7,4,12,8,12,8,16,15,5,5,21,28,19,22,3,1,34,33,32,31,17,17,27,30,19,25,23,23,14,2
31,31,10,10,14,15,1,5,1,5,8,7,3,3,12,12,30,21,17,16,34,33,18,27,24,24,26,19,22,20,28,28,9,23
27,27,4,12,3,1,5,8,5,8,11,14,25,25,20,24,17,17,13,2,34,33,23,29,30,22,21,19,15,15,31,31,10,7
29,26,14,13,14,2,21,7,21,7,16,3,25,24,20,12,10,10,4,1,33,34,27,32,28,23,19,18,6,9,30,30,5,17
25,25,9,13,8,20,1,6,1,6,22,21,3,3,19,10,5,14,23,15,34,33,30,27,31,31,16,18,17,11,28,28,24,12
27,27,13,15,7,9,5,2,5,2,17,17,10,10,16,30,25,25,8,1,34,33,23,24,22,29,19,14,20,20,31,31,12,4
22,22,12,12,11,25,2,3,1,9,4,26,16,16,10,19,20,15,5,5,34,33,30,18,7,7,29,28,21,14,31,31,24,27
10,10,3,3,26,19,16,12,16,12,14,23,1,1,6,7,24,20,28,22,34,33,5,18,8,8,30,29,25,20,31,31,27,15
24,25,15,18,20,19,9,1,9,1,28,17,21,16,11,12,7,7,4,13,33,34,30,29,22,22,26,27,5,5,31,31,3,13
30,23,6,7,16,1,25,18,25,18,10,11,4,4,8,8,21,21,12,2,34,33,24,20,28,27,17,29,14,14,31,31,13,2
30,16,11,23,28,20,2,9,2,5,17,10,2,24,6,8,14,12,1,7,33,33,18,31,21,26,32,22,15,12,27,29,25,19
27,27,20,2,14,14,3,5,3,5,12,12,18,1,11,7,16,16,8,9,33,34,26,25,29,29,24,23,21,21,31,31,19,9
3,3,1,1,23,5,20,16,20,16,14,22,10,10,15,13,31,29,5,5,33,34,18,18,8,8,25,26,32,29,27,27,24,12
29,24,4,4,22,18,7,9,7,9,9,19,1,1,15,12,13,20,3,17,34,33,23,28,25,25,27,30,13,20,31,31,6,16
4,8,9,9,30,5,11,24,11,24,21,27,22,22,26,3,16,6,1,13,34,33,20,19,31,31,29,28,15,6,17,17,2,13
23,10,9,8,21,7,16,16,16,16,6,5,13,13,20,32,15,22,4,2,34,28,27,31,25,33,24,26,11,11,29,29,1,3
30,31,8,8,22,21,10,25,11,17,28,7,19,19,29,1,2,14,12,5,26,18,27,32,23,23,16,4,2,14,33,33,12,5
