Instance,SD-TOM,SD,VAM
1,922521,922548,921541
2,947846,947044,945616
3,965358,965358,964473
4,937705,937697,935282
5,965250,964599,962901
6,965504,965652,965297
7,1000930,1001692,999974
8,982126,982132,981181
9,991019,990909,991236
10,950160,950753,949870
11,926325,926480,921470
12,896080,897647,894544
13,891042,891010,881098
14,881952,875861,873751
15,905778,911508,901135
16,887089,888715,882036
17,873972,873252,867695
18,966399,964252,954271
19,888350,888941,882351
20,877061,876506,865738
21,610981,626667,625865
22,668572,674194,606799
23,634854,642330,595639
24,633708,633772,593355
25,680268,691827,677399
26,650130,666411,595417
27,673544,673412,619456
28,682853,679556,665032
29,626664,625325,578280
30,712594,705998,648802
31,238088,257749,229531
32,296979,345169,229425
33,365171,370436,379260
34,305021,298480,222115
35,322210,341020,249089
36,267034,332465,271574
37,399411,407360,320091
38,235407,242778,213040
39,390215,407664,256555
40,338121,340460,217285
41,1054897,1054897,1054161
42,995831,995851,995561
43,974381,974381,975295
44,991743,991743,990635
45,959366,959883,956354
46,989066,988614,990416
47,997843,997903,996862
48,917908,918084,919357
49,1024839,1024579,1024505
50,1013457,1013457,1011183
51,946225,939333,933098
52,935335,938623,933332
53,894183,893169,891156
54,981752,974597,968731
55,943759,945080,939569
56,978090,978090,970479
57,967083,970745,960015
58,904748,906118,902644
59,911931,912275,912649
60,913253,912731,920570
61,753652,749099,709466
62,670480,699482,680616
63,640808,643505,587798
64,721038,717748,686941
65,734344,773909,711968
66,704910,704902,664493
67,750026,758375,731756
68,711635,718514,703026
69,748756,734001,632406
70,712811,744619,656508
71,396603,425151,181937
72,355355,385858,253878
73,460695,460695,246297
74,400181,374523,184796
75,439272,435516,188174
76,405637,551137,295851
77,534150,578039,316166
78,402577,375423,239563
79,368384,363172,204234
80,351628,362094,234738
81,947465,947385,951210
82,973543,971352,973094
83,995818,995818,997862
84,978063,978063,979710
85,963910,963456,963847
86,944000,944000,946715
87,969779,969779,969048
88,976968,976968,979395
89,983870,983870,989067
90,918392,918392,918374
91,926265,926265,940321
92,957431,932512,933653
93,996805,980465,1005865
94,915805,915805,917884
95,966097,964385,965555
96,929862,932863,926215
97,969885,969085,958538
98,940264,941025,950369
99,922640,895690,919135
100,978967,962888,980994
101,692649,749383,764171
102,758132,800833,734834
103,731673,781421,745690
104,756326,807606,782459
105,718203,740140,712030
106,829552,864718,679481
107,774378,759600,764458
108,783767,813117,761688
109,775927,791955,813223
110,724227,770977,747574
111,472644,513217,179388
112,433844,449473,187402
113,436730,412818,199892
114,429987,565394,226838
115,549608,549608,249341
116,594852,634691,371670
117,450039,390277,217136
118,417732,443736,167031
119,322600,380214,207634
120,189650,324914,143704
121,900741,900741,900907
122,1053302,1053044,1059437
123,996925,997350,1002336
124,976141,976141,981810
125,946193,946533,956403
126,1005664,1005664,1012001
127,999606,999606,1002490
128,999264,997413,999785
129,1034925,1034925,1035508
130,985374,985419,987097
131,1000003,975116,1016543
132,993120,993120,1030506
