Instance,Costs
1,922521
2,947846
3,965358
4,937705
5,965250
6,965504
7,1000930
8,982126
9,991019
10,950160
11,926325
12,896080
13,891042
14,881952
15,905778
16,887089
17,873972
18,966399
19,888350
20,877061
21,610981
22,668572
23,634854
24,633708
25,680268
26,650130
27,673544
28,682853
29,626664
30,712594
31,238088
32,296979
33,365171
34,305021
35,322210
36,267034
37,399411
38,235407
39,390215
40,338121
41,1054897
42,995831
43,974381
44,991743
45,959366
46,989066
47,997843
48,917908
49,1024839
50,1013457
51,946225
52,935335
53,894183
54,981752
55,943759
56,978090
57,967083
58,904748
59,911931
60,913253
61,753652
62,670480
63,640808
64,721038
65,734344
66,704910
67,750026
68,711635
69,748756
70,712811
71,396603
72,355355
73,460695
74,400181
75,439272
76,405637
77,534150
78,402577
79,368384
80,351628
81,947465
82,973543
83,995818
84,978063
85,963910
86,944000
87,969779
88,976968
89,983870
90,918392
91,926265
92,957431
93,996805
94,915805
95,966097
96,929862
97,969885
98,940264
99,922640
100,978967
101,692649
102,758132
103,731673
104,756326
105,718203
106,829552
107,774378
108,783767
109,775927
110,724227
111,472644
112,433844
113,436730
114,429987
115,549608
116,594852
117,450039
118,417732
119,322600
120,189650
121,900741
122,1053302
123,996925
124,976141
125,946193
126,1005664
127,999606
128,999264
129,1034925
130,985374
131,1000003
132,993120
133,1001705
134,1022855
135,1003316
136,1011786
137,943321
138,997708
139,920016
140,1019720
141,694094
142,735105
143,772959
144,846728
145,827733
146,709988
147,762970
148,745071
149,726442
150,734840
151,540498
152,323126
153,430796
154,447868
155,422995
156,406265
157,408112
158,589540
159,401125
160,389473
161,1826457
162,1910026
163,1841511
164,1897806
165,1895687
166,2049476
167,1960994
168,1847198
169,1889689
170,1946772
171,1850972
172,1818141
173,1813580
174,1819933
175,1753745
176,1851773
177,1833321
178,1721111
179,1812755
180,1768540
181,1261227
182,1239679
183,1287225
184,1283606
185,1222043
186,1181435
187,1201142
188,1204246
189,1243601
190,1278865
191,608526
192,507005
193,520427
194,507502
195,638682
196,578375
197,628607
198,509668
199,582473
200,513594
201,1889701
202,1941441
203,1956638
204,2019828
205,1995782
206,1983130
207,1978810
208,1951511
209,1889588
210,1956488
211,1876238
212,1883938
213,1802205
214,1914213
215,1909603
216,1896259
217,1897971
218,1928289
219,1820626
220,1866895
221,1326732
222,1458827
223,1458062
224,1340868
225,1392501
226,1463779
227,1308741
228,1280654
229,1283457
230,1308961
231,636346
232,553743
233,716441
234,523091
235,819847
236,597096
237,654133
238,469105
239,670873
240,567937
241,1961362
242,1945739
243,1904135
244,1944081
245,1904134
246,1960758
247,1931190
248,2002973
249,1929119
250,1949894
251,1948167
252,1880845
253,1945850
254,1974688
255,1971779
256,1930799
257,1898758
258,1996390
259,1982324
260,1785397
261,1327940
262,1435562
263,1352241
264,1455988
265,1414880
266,1228989
267,1369838
268,1474915
269,1302722
270,1465277
271,738019
272,659534
273,574481
274,752199
275,667836
276,558431
277,797267
278,687681
279,606657
280,709889
281,2002399
282,1990360
283,1885658
284,1949879
285,2003100
286,1941126
287,2038016
288,1970068
289,1998799
290,2003256
291,1968957
292,1990147
293,1958719
294,2009724
295,1894305
296,2081553
297,1920812
298,1904375
299,1909026
300,2007461
301,1405065
302,1477824
303,1392772
304,1397524
305,1575757
306,1502502
307,1441924
308,1319476
309,1390160
310,1394016
311,701922
