Instance,Costs
1,922548
2,947044
3,965358
4,937697
5,964599
6,965652
7,1001692
8,982132
9,990909
10,950753
11,926480
12,897647
13,891010
14,875861
15,911508
16,888715
17,873252
18,964252
19,888941
20,876506
21,626667
22,674194
23,642330
24,633772
25,691827
26,666411
27,673412
28,679556
29,625325
30,705998
31,257749
32,345169
33,370436
34,298480
35,341020
36,332465
37,407360
38,242778
39,407664
40,340460
41,1054897
42,995851
43,974381
44,991743
45,959883
46,988614
47,997903
48,918084
49,1024579
50,1013457
51,939333
52,938623
53,893169
54,974597
55,945080
56,978090
57,970745
58,906118
59,912275
60,912731
61,749099
62,699482
63,643505
64,717748
65,773909
66,704902
67,758375
68,718514
69,734001
70,744619
71,425151
72,385858
73,460695
74,374523
75,435516
76,551137
77,578039
78,375423
79,363172
80,362094
81,947385
82,971352
83,995818
84,978063
85,963456
86,944000
87,969779
88,976968
89,983870
90,918392
91,926265
92,932512
93,980465
94,915805
95,964385
96,932863
97,969085
98,941025
99,895690
100,962888
101,749383
102,800833
103,781421
104,807606
105,740140
106,864718
107,759600
108,813117
109,791955
110,770977
111,513217
112,449473
113,412818
114,565394
115,549608
116,634691
117,390277
118,443736
119,380214
120,324914
121,900741
122,1053044
123,997350
124,976141
125,946533
126,1005664
127,999606
128,997413
129,1034925
130,985419
131,975116
132,993120
133,1001705
134,1022855
135,1006398
136,1011786
137,943321
138,997708
139,920720
140,1019720
141,754374
142,854911
143,843184
144,896803
145,926945
146,747536
147,788733
148,824819
149,878312
150,870643
151,659135
152,432886
153,458150
154,500054
155,647098
156,445374
157,435147
158,534463
159,341936
160,416782
161,1826424
162,1909833
163,1841511
164,1897848
165,1894245
166,2048704
167,1960563
168,1847237
169,1889689
170,1947406
171,1852760
172,1821642
173,1804165
174,1821148
175,1750434
176,1853709
177,1834554
178,1716796
179,1816050
180,1767178
181,1265724
182,1231892
183,1270242
184,1283240
185,1205669
186,1181549
187,1195155
188,1210788
189,1268213
190,1276196
191,604732
192,490613
193,509987
194,486035
195,726850
196,539179
197,627511
198,513935
199,582473
200,513783
201,1888913
202,1941212
203,1956756
204,2019828
205,1995496
206,1983708
207,1978538
208,1951114
209,1889787
210,1957162
211,1872807
212,1884257
213,1799489
214,1912204
215,1908595
216,1896145
217,1875970
218,1921855
219,1816592
220,1864667
221,1404274
222,1531365
223,1502306
224,1385104
225,1365517
226,1534496
227,1359886
228,1273814
229,1396949
230,1321666
231,669731
232,641713
233,659047
234,553009
235,615217
236,645841
237,765681
238,745632
239,749028
240,636189
241,1961362
242,1945883
243,1904267
244,1940779
245,1904442
246,1960697
247,1928827
248,2003384
249,1928361
250,1947991
251,1922417
252,1883334
253,1927400
254,1971430
255,1969272
256,1920888
257,1898758
258,1969943
259,1980651
260,1801670
261,1492456
262,1600291
263,1554311
264,1570505
265,1528589
266,1482259
267,1398614
268,1589278
269,1430123
270,1480009
271,1005432
272,726547
273,761919
274,833874
275,843916
276,785286
277,837181
278,582474
279,580265
280,792267
281,2002399
282,1990360
283,1885658
284,1949879
285,2003100
286,1941126
287,2038016
288,1970068
289,1998799
290,2003256
291,1977453
292,1984537
293,1965961
294,2015808
295,1897576
296,2089545
297,1971316
298,1904375
299,1915316
300,1998199
301,1666127
302,1604119
303,1546560
304,1560500
305,1766422
306,1622565
307,1520012
308,1493673
309,1458687
310,1594709
311,770186
312,884504
313,999724
314,911044
315,807855
316,657724
317,764312
318,954883
319,579649
320,831470
321,2667002
322,2874039
323,2789885
324,2812719
325,2836223
326,2961399
327,2987770
328,2905959
329,2890163
330,2891931
331,2764542
332,2755198
333,2722859
334,2524498
335,2700558
336,2588733
337,2556691
338,2490575
339,2650782
340,2659399
341,1806867
342,1824322
343,1956816
344,1781267
345,1812848
346,1711152
347,1834875
348,1840003
349,1948363
350,1778895
351,859134
352,776781
353,903468
354,799463
355,676128
356,817118
357,786371
358,793036
359,782241
360,666826
361,2894916
362,2983649
363,2875857
364,2936909
365,2867251
366,2948637
367,2915819
368,2893659
369,2920107
370,2983587
371,2851142
372,2876645
373,2801148
374,2830541
375,2802184
376,2743973
377,2822827
378,2739906
379,2769907
380,2720454
381,2105129
382,2188279
383,2162736
384,1971682
385,2057409
386,2128725
387,2084797
388,1977509
389,1999908
390,1991508
391,871866
392,827624
393,950053
394,944894
395,991878
396,914504
397,1002302
398,1105100
399,1015888
400,1086061
401,2951427
402,2986920
403,2920441
404,2925415
405,2839623
406,2955040
407,2933655
408,2927572
409,2945726
410,3023112
411,2832418
412,2865491
413,2905008
414,2854791
415,2774593
416,2883413
417,2865663
418,2843008
419,2831192
420,2920578
421,2273342
422,2329115
423,2246796
424,2141689
425,2195368
426,2130942
427,2419718
428,2245500
429,2153565
430,2225278
431,1116337
432,901654
433,861862
434,1276196
435,985322
436,986286
437,846459
438,1018595
439,1244681
440,930231
441,2948908
442,2949922
443,2942049
444,2929051
445,3029877
446,2995586
447,3026473
448,2966567
449,2975534
450,2951271
451,3036897
452,2913824
453,2870680
454,3010839
455,2888604
456,2967909
457,3028344
458,2901482
459,3005614
460,3008487
461,2266754
462,2070684
463,2252444
464,2231452
465,2103398
466,2262036
467,2373348
468,2122346
469,2251477
470,2329610
471,903430
472,838124
473,997902
474,962415
475,1170967
476,1101611
477,1151748
478,1179948
479,1038641
480,1213812
481,5027685
482,4742798
483,4893241
484,4877860
485,4875677
486,4919614
487,4867582
488,4719440
489,4932376
490,4916695
491,4490172
492,4621969
493,4616618
494,4620313
495,4524723
496,4217215
497,4646881
498,4592589
499,4613965
500,4469463
501,3025407
502,3046428
503,2940886
504,3013635
505,3029960
506,3073129
507,3062993
508,2982377
509,2888924
510,3080272
511,1087885
512,1391659
513,1174377
514,1024265
515,1200320
516,1364474
517,1211663
518,1110847
519,1259712
520,1253768
521,4914253
522,4948316
523,4925728
524,4901795
525,4907825
526,4859853
527,4950215
528,4764937
529,5012340
530,4927611
531,4620388
532,4614941
533,4710076
534,4600865
535,4715719
536,4611653
537,4709051
538,4559833
539,4612932
540,4565338
541,3313869
542,3145389
543,3444070
544,3329389
545,3283270
546,3361715
547,3305429
548,3416392
549,3245177
550,3304030
551,1331439
552,1491115
553,1448646
554,1459406
555,1634781
556,1633341
557,1387646
558,1482570
559,1357757
560,1516769
561,4999335
562,4982247
563,4967668
564,4871081
565,4840361
566,4992294
567,4999094
568,4982937
569,4958810
570,4961079
571,4818713
572,4860692
573,4847576
574,4770172
575,4817463
576,4664545
577,4854531
578,5015230
579,4854408
580,4831369
581,3570686
582,3447802
583,3559736
584,3598483
585,3647583
586,3481724
587,3515679
588,3624172
589,3518430
590,3711725
591,1535128
592,1401525
593,1728686
594,1171758
595,1602748
596,1763955
597,1615536
598,1580863
599,1439292
600,1401281
601,4891673
602,4945934
603,4983359
604,4867407
605,5084807
606,4955206
607,4907977
608,4878830
609,4933370
610,5063877
611,4983217
612,4851164
613,5127032
614,4942191
615,4845966
616,5045377
617,5029441
618,4949804
619,4916687
620,4832509
621,3550820
622,3374144
623,3518097
624,3507343
625,3471841
626,3640925
627,3531992
628,3310360
629,3844152
630,3519641
631,1703024
632,1600472
633,1392745
634,1531816
635,1491629
636,1699411
637,1978755
638,1725779
639,1576011
640,1423808
