Instance,Costs
1,922024
2,946323
3,964757
4,936000
5,964457
6,965573
7,1000433
8,981664
9,990694
10,950827
11,923367
12,888237
13,881708
14,874689
15,903453
16,886230
17,874752
18,959200
19,885087
20,869764
21,626026
22,619480
23,602544
24,604433
25,672831
26,611709
27,621533
28,651958
29,574865
30,632081
31,192482
32,264264
33,328151
34,228027
35,280091
36,280573
37,329149
38,193834
39,409688
40,297296
41,1054138
42,996349
43,974480
44,991558
45,959404
46,988338
47,997818
48,917908
49,1025192
50,1013483
51,935938
52,925792
53,891067
54,970107
55,935430
56,971282
57,962115
58,900539
59,911337
60,914276
61,720458
62,634460
63,595584
64,685257
65,713554
66,753182
67,734870
68,731933
69,651202
70,678402
71,329187
72,256979
73,369922
74,327952
75,257634
76,418375
77,449008
78,348055
79,376641
80,377255
81,947750
82,971716
83,996253
84,979064
85,962871
86,944069
87,969779
88,977050
89,984361
90,918686
91,927131
92,933543
93,985189
94,909272
95,967295
96,931847
97,971388
98,933186
99,900678
100,964596
101,781588
102,781777
103,788352
104,838277
105,695873
106,738195
107,741022
108,711882
109,787297
110,739915
111,582926
112,341408
113,491182
114,434898
115,582916
116,635009
117,542370
118,415620
119,496875
120,408886
121,901250
122,1054021
123,999389
124,976141
125,947403
126,1006794
127,999606
128,997883
129,1034925
130,985419
131,981561
132,993120
133,984409
134,1022855
135,1015630
136,1011786
137,945864
138,997708
139,913488
140,1020098
141,832885
142,869300
143,875614
144,993062
145,920481
146,751727
147,884912
148,828149
149,845616
150,815155
151,729570
152,681586
153,647226
154,778851
155,749799
156,779306
157,618122
158,904102
159,609896
160,638919
161,1825422
162,1909006
163,1840178
164,1893382
165,1892263
166,2048762
167,1959329
168,1844630
169,1888311
170,1944536
171,1847908
172,1826060
173,1794362
174,1814598
175,1746746
176,1833181
177,1830525
178,1712095
179,1802510
180,1756390
181,1251604
182,1207307
183,1234730
184,1228033
185,1118741
186,1141865
187,1218255
188,1169620
189,1221913
190,1245521
191,625127
192,410569
193,462931
194,448134
195,623718
196,554636
197,462943
198,394769
199,500995
200,321871
201,1890023
202,1942600
203,1956062
204,2018122
205,1995550
206,1984645
207,1975309
208,1950658
209,1888026
210,1956103
211,1878013
212,1874341
213,1801687
214,1905964
215,1896098
216,1894492
217,1873598
218,1919889
219,1820849
220,1854404
221,1399306
222,1434919
223,1337500
224,1356760
225,1389850
226,1410329
227,1272922
228,1280003
229,1299628
230,1351081
231,667687
232,651690
233,644823
234,494449
235,658621
236,693482
237,833304
238,668219
239,657645
240,548527
241,1961695
242,1945733
243,1904347
244,1942514
245,1905052
246,1961528
247,1930358
248,2003337
249,1928822
250,1948924
251,1929902
252,1874649
253,1918118
254,1922954
