Instance,Costs
1,922024
2,946323
3,964785
4,936000
5,964590
6,965824
7,1000433
8,981664
9,990660
10,950827
11,923367
12,888237
13,881708
14,874689
15,904973
16,886230
17,870066
18,962681
19,885087
20,869764
21,626026
22,619480
23,602544
24,604433
25,672831
26,611709
27,621533
28,651958
29,574865
30,632081
31,192482
32,264264
33,328151
34,228027
35,280091
36,275964
37,329149
38,193834
39,409688
40,246179
41,1054159
42,995653
43,973380
44,991558
45,958536
46,988338
47,997320
48,917908
49,1024355
50,1011841
51,939740
52,925132
53,892714
54,970091
55,935430
56,970285
57,967823
58,900408
59,911337
60,916602
61,737932
62,694970
63,593918
64,686543
65,713554
66,753182
67,735924
68,731933
69,657024
70,684216
71,329187
72,266361
73,317144
74,308129
75,362906
76,398450
77,378316
78,348055
79,303001
80,334759
81,947825
82,973096
83,996612
84,979064
85,963242
86,943768
87,969622
88,977050
89,986712
90,917727
91,927131
92,933543
93,986761
94,906080
95,967295
96,928297
97,971388
98,945928
99,902618
100,964596
101,781588
102,794890
103,757228
104,755290
105,697722
106,787496
107,755848
108,748338
109,787297
110,701265
111,594294
112,341408
113,429771
114,521529
115,592897
116,627876
117,541406
118,399771
119,449935
120,408886
121,904622
122,1059437
123,999389
124,976141
125,949433
126,1005666
127,999606
128,995719
129,1035508
130,985419
131,981561
132,993120
133,984409
134,1022855
135,1015598
136,1000257
137,954067
138,997708
139,923376
140,1017162
141,832885
142,869300
143,834263
144,1030071
145,920481
146,774108
147,930086
148,828149
149,885529
150,908315
151,842778
152,713604
153,647226
154,778851
155,749799
156,842033
157,598475
158,1016030
159,616447
160,762324
161,1825422
162,1909006
163,1840178
164,1893382
165,1892684
166,2048824
167,1959329
168,1844630
169,1888311
170,1945056
171,1847908
172,1827104
173,1794362
174,1814598
175,1746746
176,1833181
177,1830525
178,1712095
179,1807145
180,1756390
181,1251604
182,1207307
183,1234730
184,1228033
185,1118741
186,1199051
187,1218255
188,1169620
189,1221913
190,1245521
191,612668
192,410569
193,462931
194,448134
195,623718
196,554636
197,462943
198,394769
199,500995
200,328870
201,1890557
202,1939794
203,1955503
204,2018122
205,1995683
206,1983565
207,1976597
208,1950591
209,1889801
210,1956168
211,1878013
212,1874341
213,1802323
214,1907051
215,1890202
216,1894492
217,1873056
218,1922456
219,1816290
220,1855868
221,1351757
222,1464990
223,1357466
224,1364417
225,1405397
226,1418653
227,1272922
228,1281240
229,1299628
230,1318006
231,701729
232,651690
233,649461
234,713344
235,650167
236,693482
237,868095
238,674935
239,687065
240,613512
241,1965838
242,1945599
243,1903753
244,1941804
245,1906097
246,1962869
247,1928827
248,2004178
249,1929204
250,1948702
251,1929902
252,1874649
253,1926982
254,1967468
