Instance,Costs
1,921646
2,945534
3,965291
4,935122
5,963591
6,965203
7,1000144
8,981108
9,991040
10,950480
11,925457
12,890180
13,885459
14,872922
15,903109
16,883299
17,870449
18,958867
19,888043
20,866393
21,619885
22,645952
23,619383
24,594956
25,684874
26,610664
27,652666
28,654004
29,584992
30,663748
31,228523
32,215179
33,324012
34,212729
35,259346
36,247800
37,345005
38,209791
39,279791
40,213880
41,1054384
42,997666
43,975215
44,990948
45,958342
46,989937
47,996437
48,919357
49,1025811
50,1013802
51,932901
52,934845
53,898129
54,970889
55,939315
56,975055
57,960485
58,902071
59,918198
60,916418
61,723930
62,668358
63,549949
64,656525
65,675185
66,707190
67,714526
68,712818
69,632614
70,666595
71,152553
72,177024
73,230410
74,158488
75,206642
76,229847
77,307242
78,216939
79,204234
80,220860
81,951682
82,975584
83,997862
84,979844
85,964617
86,946526
87,968757
88,980841
89,988058
90,922784
91,950193
92,934388
93,1008647
94,917670
95,967422
96,945508
97,959892
98,949016
99,919345
100,981294
101,700406
102,648981
103,687113
104,732071
105,643667
106,646323
107,689633
108,665026
109,675417
110,676721
111,167549
112,175312
113,194229
114,226838
115,230006
116,351422
117,205811
118,150429
119,181306
120,142040
121,906599
122,1059437
123,1002336
124,981810
125,956403
126,1013381
127,999905
128,1004032
129,1035508
130,984799
131,1016543
132,1004029
133,1011436
134,1030377
135,1023392
136,1037400
137,959250
138,1010939
139,959702
140,1037440
141,736412
142,681875
143,673780
144,728732
145,654460
146,723348
147,638856
148,675309
149,712287
150,681745
151,171102
152,178849
153,256248
154,204622
155,193374
156,155690
157,140982
158,248421
159,187286
160,205066
161,1825330
162,1910107
163,1839813
164,1896779
165,1893084
166,2048464
167,1960785
168,1845013
169,1887604
170,1944580
171,1851144
172,1822649
173,1808045
174,1807786
175,1746632
176,1839156
177,1829459
178,1712819
179,1805616
180,1754172
181,1220694
182,1195517
183,1216806
184,1263282
185,1111541
186,1181162
187,1166545
188,1184036
189,1225596
190,1214331
191,503974
192,428262
193,462145
194,351682
195,585939
196,518011
197,441585
198,527840
199,461579
200,301369
201,1892135
202,1940920
203,1957004
204,2016378
205,1998210
206,1984337
207,1977805
208,1949986
209,1889316
210,1952643
211,1877967
212,1876938
213,1796212
214,1904201
215,1896930
216,1910197
217,1869899
218,1924047
219,1824939
220,1843381
221,1305364
222,1342531
223,1383340
224,1296635
225,1300651
226,1452818
227,1326684
228,1254181
229,1331007
230,1267624
231,574470
232,401645
233,348138
234,266702
235,363292
236,424781
237,414528
238,356746
239,412035
240,375210
241,1965594
242,1947367
243,1907574
244,1955786
245,1904976
246,1965858
247,1931380
248,2006582
249,1937107
250,1953825
251,1936411
252,1873145
253,1915426
254,1961232
255,1958046
256,1936646
257,1917633
258,1973009
259,1948331
260,1794472
261,1350925
262,1365896
263,1395468
264,1388140
265,1371789
266,1314427
267,1410114
268,1391006
269,1329159
270,1303681
271,415184
272,300028
273,405418
274,328485
275,429307
276,387925
277,398138
278,346250
279,309643
280,367929
281,2013847
282,2001229
283,1897999
284,1956452
285,2004526
286,1944535
287,2039453
288,1973567
289,2011028
290,2005613
291,1956834
292,1984653
293,1941011
