Instance,Costs
1,921646
2,946038
3,965018
4,935036
5,963981
6,965209
7,999259
8,982084
9,991200
10,950480
11,921026
12,885881
13,892363
14,872917
15,904162
16,883299
17,868216
18,955122
19,887477
20,866525
21,647076
22,645952
23,605004
24,596242
25,690004
26,601505
27,643320
28,664938
29,595625
30,646959
31,224335
32,252795
33,376650
34,231140
35,257698
36,248304
37,353152
38,219636
39,279791
40,246460
41,1054348
42,998651
43,975329
44,990540
45,957557
46,989937
47,996437
48,919594
49,1025925
50,1013571
51,932747
52,934293
53,894367
54,970217
55,939315
56,969610
57,964073
58,902071
59,918198
60,925138
61,738901
62,669384
63,557731
64,679805
65,694556
66,708278
67,732186
68,701108
69,675665
70,661878
71,181937
72,253878
73,246297
74,184892
75,188174
76,295851
77,317102
78,239563
79,204234
80,234738
81,951682
82,976432
83,997862
84,979844
85,964617
86,946526
87,968757
88,980841
89,988058
90,922784
91,950193
92,935378
93,1008647
94,917670
95,965672
96,945508
97,959468
98,949016
99,919345
100,980994
101,770280
102,734834
103,761079
104,779025
105,712030
106,679481
107,795607
108,808001
109,813223
110,755645
111,179388
112,187402
113,199892
114,226838
115,249341
116,371670
117,217136
118,167031
119,207634
120,143704
121,906599
122,1059437
123,1002336
124,981810
125,956403
126,1013381
127,999905
128,1004032
129,1035508
130,984799
131,1016543
132,1004029
133,1011436
134,1030377
135,1023392
136,1037400
137,959250
138,1010939
139,959702
140,1037440
141,940094
142,772929
143,898312
144,867954
145,819907
146,852095
147,799094
148,767251
149,866390
150,803724
151,180202
152,168946
153,300560
154,204622
155,208097
156,159683
157,155418
158,248991
159,198533
160,213799
161,1825475
162,1909310
163,1839813
164,1897145
165,1892902
166,2048499
167,1959411
168,1845011
169,1887604
170,1944218
171,1848907
172,1820823
173,1797408
174,1814461
175,1746716
176,1844627
177,1830943
178,1707659
179,1806425
180,1760046
181,1226598
182,1192913
183,1251759
184,1230223
185,1153013
186,1143990
187,1151145
188,1186864
189,1204560
190,1219195
191,503974
192,449123
193,484114
194,419762
195,557695
196,503536
197,433675
198,533712
199,486025
200,308985
201,1892223
202,1940920
203,1956028
204,2016551
205,1998348
206,1984645
207,1977805
208,1950202
209,1888974
210,1952643
211,1877031
212,1879106
213,1796212
214,1904201
215,1892465
216,1906846
217,1869898
218,1920244
219,1823948
220,1842468
221,1395639
222,1470693
223,1429063
224,1321904
225,1388304
226,1455855
227,1368589
228,1290975
229,1322705
230,1242621
231,584405
232,419707
233,379643
234,268730
235,381251
236,430029
237,542645
238,359733
239,412035
240,389289
241,1965688
242,1947367
243,1907574
244,1955786
245,1904976
246,1965858
247,1931483
248,2006582
249,1937107
250,1953866
251,1936411
252,1873734
253,1915426
254,1961232
255,1958046
256,1937157
257,1917633
258,1972928
259,1948101
260,1794472
261,1615463
262,1650628
263,1598093
264,1514620
265,1515977
266,1596816
267,1503354
268,1603222
269,1507145
270,1499023
271,424313
272,314533
273,417457
274,328485
275,467122
276,402825
277,427978
278,345197
279,321505
280,378829
281,2013847
282,2001229
283,1897999
284,1956452
285,2004526
286,1944535
287,2039453
288,1973567
289,2011028
290,2005613
291,1956834
292,1984653
293,1941011
294,1992255
295,1914651
296,2089545
297,1978175
298,1961554
299,1877523
300,2076074
301,1620012
302,1756817
303,1757577
304,1605962
305,1694629
306,1798557
307,1833012
308,1681739
309,1654132
310,1597056
311,396246
312,546797
313,362019
314,347954
315,320596
316,365596
317,386353
318,428640
319,316894
320,487009
321,2665612
322,2873464
323,2788755
324,2811244
325,2834947
326,2959270
327,2985862
328,2905366
329,2890053
330,2890725
331,2765546
332,2738277
333,2718394
334,2511885
335,2698311
336,2587815
337,2549876
338,2474956
339,2642576
340,2644830
341,1828780
342,1753194
343,1867992
344,1790862
345,1789777
346,1604348
347,1735763
348,1767002
349,1883774
350,1702433
351,745364
352,564216
353,764778
354,532027
355,491984
356,527700
357,724928
358,771413
359,535400
360,564267
361,2894660
362,2983595
363,2883858
364,2939215
365,2871427
366,2950327
367,2912625
368,2894029
369,2925563
370,2988231
371,2848115
372,2882914
373,2788749
374,2802672
375,2826592
376,2715617
377,2805564
378,2719154
379,2747717
380,2728153
381,2049541
382,2006807
383,2091861
384,1931283
385,2052752
386,1985189
387,2078836
388,1917489
389,1918957
390,1920892
391,551160
392,545463
393,459995
394,562196
395,544337
396,573020
397,531975
398,550570
399,532558
400,493085
401,2962070
402,2996002
403,2928695
404,2935263
405,2842849
406,2959615
407,2931381
408,2937690
409,2957103
410,3046740
411,2830319
412,2898366
413,2909121
414,2863697
415,2778957
416,2838125
417,2854537
418,2856874
419,2846912
420,2936025
421,2410816
422,2325848
423,2410886
424,2359257
425,2267965
426,2353880
427,2298593
428,2386461
429,2320058
430,2402069
431,539057
432,463737
433,389954
434,607259
435,581842
436,518027
437,492313
438,676380
439,519935
440,555745
441,2962134
442,2961295
443,2959443
444,2945332
445,3045726
446,2997912
447,3030810
448,2981182
449,2979300
450,2962901
451,3067494
452,2948818
453,2965878
454,3064877
455,2923721
456,2967909
457,3006539
458,2925059
459,3061982
460,3014368
461,2595534
462,2300298
463,2757561
464,2707746
465,2760329
466,2553634
467,2724600
468,2589024
469,2565210
470,2552812
471,499698
472,483871
473,634239
474,534750
475,616673
476,616867
477,534104
478,451456
479,707030
480,596160
481,5028408
482,4745305
483,4893489
484,4871313
485,4875212
486,4918362
487,4864737
488,4716629
489,4927110
490,4913786
491,4471138
492,4603847
493,4605118
494,4608852
495,4506789
496,4198631
497,4640261
498,4566575
499,4593561
500,4455298
501,2975123
502,2928464
503,2845960
504,2858883
505,3037677
506,3015302
507,2977433
508,2827996
509,2693666
510,2949868
511,791965
512,1091249
513,903688
514,747147
515,1078251
516,1177236
517,927826
518,1086093
519,960375
520,1143973
521,4908496
522,4949214
523,4928235
524,4902822
525,4904530
526,4859848
527,4946794
528,4766827
529,5007900
530,4926626
531,4615175
532,4588251
533,4716184
534,4590080
535,4711745
536,4620241
537,4722669
538,4566529
539,4570876
540,4572067
541,3416647
542,3184515
543,3335384
544,3463407
545,3292603
546,3287917
547,3281805
548,3327918
549,3204074
550,3253166
551,826795
552,1010308
553,790831
554,974510
555,1016635
556,1019748
557,961864
558,1022993
559,903606
560,828124
561,5010618
562,4986403
563,4964255
564,4868407
565,4839355
566,4997338
567,4998225
568,4991802
569,4974739
570,4967648
571,4761510
572,4811052
573,4822980
574,4736209
575,4768488
576,4727599
577,4905795
578,5005892
579,4870696
580,4814225
581,3779667
582,4095150
583,4037388
584,4029910
585,3826014
586,3931182
587,3756325
588,4039667
589,4059012
590,3992776
591,1078749
592,804573
593,1015726
594,967609
595,1055080
596,888630
597,902449
598,907654
599,889218
600,943993
601,4897953
