Instance,Costs
1,922332
2,946009
3,965232
4,935734
5,963058
6,965283
7,999067
8,982078
9,990574
10,949761
11,922290
12,891221
13,887527
14,875777
15,907834
16,883382
17,871573
18,959345
19,889763
20,872913
21,636540
22,617257
23,605340
24,603266
25,688862
26,602779
27,615275
28,664501
29,597084
30,644201
31,224488
32,253001
33,328224
34,226443
35,255999
36,341515
37,346365
38,246266
39,259593
40,274127
41,1053482
42,996766
43,971465
44,990795
45,956629
46,987803
47,997092
48,920677
49,1026775
50,1012479
51,935752
52,935434
53,887426
54,976997
55,937041
56,975208
57,965870
58,905070
59,907547
60,924752
61,704985
62,615512
63,643833
64,681687
65,675970
66,660940
67,713656
68,689325
69,646763
70,649961
71,218398
72,236630
73,345255
74,230250
75,307218
76,338722
77,449255
78,363840
79,291542
80,383996
81,950816
82,973335
83,994928
84,980657
85,959127
86,947426
87,967353
88,976973
89,986851
90,919799
91,929492
92,921062
93,1006520
94,917630
95,963089
96,927210
97,961398
98,945731
99,903803
100,966041
101,843426
102,760322
103,686708
104,779393
105,716759
106,790656
107,752267
108,811147
109,794050
110,768606
111,304440
112,382087
113,269948
114,330023
115,537497
116,535114
117,470486
118,348765
119,430940
120,304700
121,900670
122,1053882
123,997244
124,981182
125,946007
126,1005026
127,1003237
128,996487
129,1032382
130,987225
131,977150
132,998100
133,993374
134,1027551
135,1025549
136,1002446
137,943091
138,1001897
139,920016
140,1034692
141,1059501
142,885397
143,853007
144,925805
145,952897
146,873402
147,854928
148,911823
149,852487
150,906200
151,513793
152,783787
153,574158
154,414021
155,480256
156,314519
157,401075
158,793722
159,543483
160,566895
161,1825838
162,1909597
163,1839160
164,1895588
165,1891460
166,2049035
167,1958545
168,1845205
169,1887943
170,1944631
171,1852184
172,1819137
173,1803457
174,1812493
175,1750280
176,1843275
177,1824612
178,1710586
179,1797732
180,1754840
181,1224684
182,1200022
183,1266879
184,1247346
185,1158784
186,1125181
187,1164056
188,1182013
189,1200220
190,1230309
191,541469
192,444879
193,460653
194,373435
195,609864
196,548393
197,490802
198,509355
199,504065
200,359671
201,1892907
202,1944766
203,1955573
204,2015276
205,1995949
206,1984031
207,1977241
208,1948960
209,1889158
210,1954675
211,1884562
212,1881590
213,1798745
214,1897385
215,1906612
216,1893459
217,1879119
218,1910169
219,1830572
220,1843397
221,1299852
222,1414750
223,1322322
224,1309098
225,1374406
226,1487032
227,1375733
228,1285325
229,1267239
230,1279955
231,562575
232,609824
233,497676
234,449212
235,499756
236,525552
237,630012
238,540139
239,519212
240,611531
241,1960750
242,1941921
243,1901739
244,1945280
245,1906361
246,1961058
247,1931233
248,2004702
249,1933225
250,1945917
251,1939883
252,1840696
253,1921804
254,1938308
255,1953852
256,1906845
257,1896721
258,1958551
259,1948354
260,1792261
261,1507194
262,1604455
263,1470231
264,1482422
265,1580619
266,1406548
267,1588245
268,1699627
269,1497983
270,1506454
271,1099493
272,674643
273,985603
274,735001
275,826640
276,736086
277,854056
278,835019
279,801519
280,787078
281,2004394
282,1997736
283,1885489
284,1951950
285,1999115
286,1942729
287,2031031
288,1972186
289,1999799
290,2004713
291,1960995
292,1985584
293,1966961
294,1987580
295,1879954
296,2015590
297,1931324
298,1929660
299,1893726
300,1993721
301,1693724
302,1867362
303,1909251
304,1697011
305,1868809
306,1813598
307,1985102
308,1829216
309,1832197
310,1716154
311,986238
312,1512594
313,963389
314,1044683
315,675611
316,1233330
317,1787028
318,1411102
319,1664240
320,1026572
321,2665659
322,2871408
323,2790648
324,2811455
325,2834071
326,2959873
327,2985818
328,2903824
329,2890507
330,2889472
331,2756483
332,2737843
333,2711244
334,2516198
335,2690063
336,2582592
337,2542700
338,2484576
339,2636010
340,2649796
341,1803952
342,1754679
343,1830606
344,1787878
345,1802616
346,1593752
347,1847061
348,1750924
349,1861869
350,1704199
351,834495
352,600883
353,759831
354,531722
355,495221
356,565372
357,720942
358,688723
359,588580
360,543318
361,2896435
362,2980594
363,2877217
364,2935313
365,2868201
366,2949805
367,2914507
368,2890106
369,2924400
370,2988875
371,2845918
372,2854413
373,2774325
374,2809341
375,2820666
376,2732338
377,2810503
378,2736895
379,2762569
380,2707033
381,2090187
382,2035633
383,2062789
384,1999742
385,2063810
386,2032039
387,2097783
388,1902990
389,1949600
390,1928162
391,993759
392,917981
393,730178
394,892819
395,966782
396,737432
397,899607
398,840957
399,778633
400,939270
401,2951561
402,2981789
403,2919186
404,2935116
405,2837490
406,2948266
407,2931587
408,2922615
409,2951860
410,3025448
411,2793158
412,2868094
413,2861637
414,2815550
415,2790428
416,2838625
417,2846672
418,2853606
419,2830680
420,2871960
421,2429989
422,2292383
423,2231157
424,2305941
425,2245475
426,2309905
427,2256870
428,2144191
429,2229133
430,2218895
431,1461436
432,1237382
433,969713
434,1215180
435,1050466
436,1083259
437,1114397
438,1144872
439,864529
440,972732
441,2948733
442,2943241
443,2951233
444,2931706
445,3030610
446,2986078
447,3015689
448,2965681
449,2973881
450,2951605
451,3007273
452,2902434
453,2873184
454,2970331
455,2882216
456,2924554
457,2922374
458,2860898
459,3016694
460,3005710
461,2550890
462,2437414
463,2703291
464,2759991
465,2738276
466,2704863
467,2697209
468,2579928
469,2589184
470,2749133
471,1316659
472,2123297
473,2379680
474,1543696
475,2504796
476,2101254
477,1763660
478,1911738
479,2532057
480,1879796
481,5026908
482,4744605
483,4890876
484,4871658
485,4874467
486,4918862
487,4865590
488,4717057
