Instance,Costs
1,923293
2,946731
3,964981
4,935061
5,963070
6,965140
7,999463
8,981418
9,990542
10,949405
11,922218
12,885745
13,880719
14,877002
15,901911
16,881469
17,868440
18,955122
19,887679
20,870719
21,633236
22,626237
23,611868
24,603392
25,647231
26,596910
27,644231
28,641013
29,583831
30,671092
31,246878
32,220144
33,311253
34,203444
35,250532
36,273026
37,301821
38,212405
39,278776
40,227322
41,1053487
42,998666
43,974726
44,991590
45,959078
46,992963
47,996340
48,919298
49,1024727
50,1013033
51,944614
52,929360
53,894037
54,983944
55,942876
56,975536
57,970196
58,931130
59,918146
60,917007
61,676167
62,584146
63,536191
64,608352
65,600759
66,599050
67,667722
68,635304
69,591774
70,626860
71,152553
72,174703
73,183919
74,163999
75,180110
76,230009
77,263100
78,198649
79,191474
80,219533
81,953370
82,974920
83,996947
84,978849
85,966898
86,945363
87,969646
88,980017
89,990067
90,923167
91,912469
92,924120
93,982686
94,899664
95,964333
96,926931
97,964472
98,924110
99,899911
100,951719
101,567688
102,567185
103,580061
104,610584
105,558076
106,575778
107,604473
108,584678
109,602981
110,582068
111,162991
112,172713
113,186726
114,224188
115,222662
116,324648
117,202704
118,144439
119,176792
120,135677
121,900697
122,1059075
123,1002999
124,979600
125,948861
126,1005019
127,1002325
128,996806
129,1039164
130,982856
131,943249
132,941776
133,937868
134,963864
135,954364
136,953137
137,899348
138,943932
139,878723
140,965797
141,608132
142,595025
143,599063
144,618479
145,590188
146,597801
147,556943
148,584158
149,597526
150,596258
151,159263
152,159350
153,242365
154,201126
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1825864
162,1908193
163,1838815
164,1894158
165,1895363
166,2047968
167,1960433
168,1844654
169,1887228
170,1944622
171,1851261
172,1818670
173,1793443
174,1810192
175,1745426
176,1834374
177,1828544
178,1709470
179,1802200
180,1749635
181,1226285
182,1189831
183,1222751
184,1218404
185,1131336
186,1147419
187,1155320
188,1172430
189,1193544
190,1214304
191,509470
192,394580
193,471740
194,368370
195,571416
196,513518
197,386387
198,407440
199,465147
200,309394
201,1891454
202,1939147
203,1958955
204,2018897
205,2001797
206,1986598
207,1977089
208,1952666
209,1888485
210,1959170
211,1898381
212,1859817
213,1803293
214,1913217
215,1903256
216,1887719
217,1868974
218,1934739
219,1815786
220,1852078
221,1177964
222,1267766
223,1251511
224,1145693
225,1193242
226,1310264
227,1169451
228,1154707
229,1177570
230,1178061
231,381467
232,395003
233,344143
234,255815
235,355459
236,397590
237,406985
238,349775
239,407819
240,361166
241,1965475
242,1946403
243,1906746
244,1948375
245,1910203
246,1966009
247,1931553
248,2007779
249,1928841
250,1956244
251,1873223
252,1800727
253,1855928
254,1886411
255,1901330
256,1849232
257,1825231
258,1912185
259,1892055
260,1744497
261,1144542
262,1192029
263,1172082
264,1209605
265,1190541
266,1150337
267,1160422
268,1179452
269,1126677
270,1144567
271,400615
272,288306
273,399851
274,326912
275,411206
276,385096
277,392149
278,343515
279,309168
280,357158
281,1990138
282,1977167
283,1876769
284,1938703
285,1989757
286,1926837
287,2019427
288,1953301
289,1990496
290,1989410
291,1844297
292,1872565
293,1825372
294,1858183
295,1763138
296,1918832
297,1816853
298,1812412
299,1780431
300,1908314
301,1206532
302,1232086
303,1198820
304,1116692
305,1176911
306,1202555
307,1223446
308,1171400
309,1120554
310,1186215
311,374146
312,474110
313,344813
314,328552
315,308172
316,355902
317,382442
318,400356
319,299633
320,431614
321,2665856
322,2871209
323,2789347
324,2813330
325,2832663
326,2959447
327,2984709
328,2903949
329,2887822
330,2890496
331,2756325
332,2737932
333,2710397
334,2510894
335,2684464
336,2580654
337,2547097
338,2476115
339,2640000
340,2640886
341,1783234
342,1765778
343,1817840
344,1782629
345,1733417
346,1610741
347,1758549
348,1748258
349,1897505
350,1689094
351,596009
352,528895
353,763854
354,484713
355,482989
356,526928
357,719619
358,682219
359,515161
360,510421
361,2892389
362,2984998
363,2884872
364,2938675
365,2871718
366,2951356
367,2916993
368,2895048
369,2922637
370,2988178
371,2832950
372,2870446
373,2776436
374,2814755
375,2798458
376,2724586
377,2801258
378,2721416
379,2763999
380,2726285
381,1802857
382,1838035
383,1814858
384,1768185
385,1859936
386,1807919
387,1844958
388,1741006
389,1718688
390,1745043
391,511242
392,469536
393,455986
394,533286
395,522212
396,559411
397,515188
398,535392
399,520526
400,474944
401,2954001
402,2987283
403,2920012
404,2930204
405,2838405
406,2953144
407,2929877
408,2930645
409,2943861
410,3035850
411,2702681
412,2745133
413,2754634
414,2729080
415,2654059
416,2748524
417,2719699
418,2750592
419,2730434
420,2781461
421,1851709
422,1787586
423,1779967
424,1755331
425,1699359
426,1773427
427,1827837
428,1780728
429,1723861
430,1756563
431,526458
432,450559
433,386989
434,597510
435,549310
436,491055
437,456340
438,655027
439,511196
440,531498
441,2919029
442,2915095
443,2926687
444,2908923
445,3006807
446,2960635
447,2994169
448,2939901
449,2945141
450,2920579
451,2837333
452,2709447
453,2713567
