Instance,Costs
1,921631
2,945518
3,964439
4,935282
5,962514
6,965295
7,999062
8,980948
9,990841
10,949316
11,921470
12,889533
13,882956
14,870920
15,902123
16,882469
17,867695
18,957962
19,886433
20,865448
21,613615
22,606799
23,622814
24,592530
25,638297
26,605419
27,620470
28,651476
29,578137
30,654550
31,236548
32,233277
33,350297
34,212729
35,253334
36,244895
37,322913
38,186703
39,283637
40,198797
41,1054258
42,995505
43,975835
44,990427
45,956354
46,990746
47,996554
48,919357
49,1024505
50,1011731
51,930158
52,933785
53,888420
54,968731
55,939633
56,968894
57,960652
58,902644
59,912649
60,916566
61,724279
62,625569
63,550063
64,653193
65,665203
66,664493
67,699167
68,708660
69,633100
70,680213
71,152553
72,177024
73,190681
74,158488
75,206498
76,229847
77,291282
78,216939
79,204234
80,220860
81,951297
82,973094
83,997862
84,979710
85,963847
86,946715
87,969048
88,978243
89,989067
90,918374
91,940192
92,933653
93,1005865
94,917884
95,965555
96,926015
97,958538
98,950369
99,919135
100,980994
101,700406
102,648981
103,653662
104,732071
105,643535
106,646323
107,691574
108,648335
109,675417
110,672046
111,167549
112,175312
113,194229
114,226838
115,230006
116,351422
117,205811
118,150429
119,181306
120,142040
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036118
141,736412
142,681875
143,673780
144,728732
145,654460
146,723348
147,638856
148,675309
149,712287
150,681745
151,171102
152,178849
153,256248
154,204622
155,193374
156,155690
157,140982
158,248421
159,187286
160,205066
161,1824376
162,1909573
163,1838723
164,1893979
165,1891793
166,2047668
167,1959839
168,1844171
169,1886955
170,1943408
171,1848796
172,1817848
173,1793591
174,1806670
175,1748539
176,1836045
177,1819796
178,1707786
179,1801375
180,1749637
181,1216514
182,1189545
183,1228882
184,1235078
185,1119787
186,1144827
187,1153865
188,1194855
189,1207552
190,1225115
191,574437
192,439477
193,479915
194,351682
195,561127
196,556831
197,398578
198,404009
199,480508
200,314826
201,1890438
202,1940479
203,1953347
204,2018365
205,1998262
206,1985735
207,1977177
208,1949917
209,1889669
210,1953155
211,1875457
212,1869270
213,1797981
214,1898328
215,1893478
216,1889994
217,1878767
218,1909635
219,1797390
220,1839444
221,1304463
222,1341712
223,1355426
224,1266320
225,1289575
226,1438689
227,1297352
228,1238034
229,1295340
230,1268371
231,385360
232,398985
233,348138
234,266702
235,363292
236,424781
237,414528
238,356746
239,412035
240,375210
241,1965414
242,1943787
243,1908485
244,1949780
245,1904830
246,1963512
247,1931469
248,2004683
249,1931614
250,1950225
251,1938733
252,1857112
253,1914606
254,1951211
255,1942922
256,1955161
257,1917633
258,1970243
259,1933661
260,1794472
261,1350925
262,1365896
263,1349866
264,1380790
265,1359619
266,1314427
267,1409084
268,1391006
269,1329159
270,1303681
271,415184
272,300028
273,405418
274,328485
275,429307
276,387925
277,398138
278,346250
279,309643
280,367929
281,2013847
282,2001229
283,1897999
284,1959339
285,2004526
286,1954104
287,2047298
288,1973567
289,1998237
290,2008588
291,1966536
292,1983841
293,1941011
294,1992255
295,1914651
296,2026362
297,1938640
298,1956030
299,1893317
300,2077337
301,1470958
302,1442318
303,1406668
304,1287371
305,1306359
306,1451098
307,1395160
308,1423902
309,1410643
310,1416429
311,396576
312,513360
313,353105
314,330014
315,313929
316,363052
317,384420
318,408106
319,311166
320,447608
321,2664500
322,2870649
323,2787799
324,2809545
325,2833923
326,2959720
327,2983956
328,2903248
329,2888149
330,2889664
331,2754226
332,2737676
333,2708677
334,2510140
335,2686073
336,2574531
337,2548106
338,2468887
339,2632021
340,2642661
341,1792741
342,1741699
343,1812443
344,1741167
345,1728565
346,1591834
347,1769639
348,1777603
349,1844548
350,1692003
351,651450
352,508645
353,756340
354,507766
355,473724
356,553896
357,722205
358,598986
359,497356
360,516176
361,2895246
362,2982510
363,2881276
364,2937994
365,2871031
366,2950678
367,2913812
368,2893373
369,2923112
370,2989682
371,2830421
372,2876033
373,2787472
374,2787464
375,2813572
376,2721004
377,2800609
378,2712609
379,2751448
380,2724839
381,1964366
382,2018258
383,1958644
384,1941179
385,2042926
386,1983516
387,1983335
388,1855200
389,1867680
390,1839310
391,524568
392,479831
393,457696
394,540619
395,539066
396,564508
397,518527
398,546046
399,532934
400,489120
401,2961019
402,2991942
403,2918398
404,2925975
405,2836364
406,2964008
407,2933800
408,2934723
409,2957115
410,3031639
411,2791523
412,2907343
413,2865147
414,2869799
415,2778957
416,2884063
417,2849433
418,2849475
419,2827954
420,2936025
421,2253846
422,2053725
423,2071613
424,2152005
425,2002554
426,2176386
427,2137390
428,2018843
429,2064575
430,1984244
431,534506
432,452445
433,387365
434,603293
435,564061
436,496903
437,469169
438,671023
439,513596
440,540738
441,2959956
442,2957084
443,2969501
444,2943634
445,3052707
446,2998204
447,3030810
448,2970481
449,2973594
450,2957830
451,3043164
452,2948818
453,2965878
454,2986308
455,2923721
