Instance,Costs
1,921631
2,945518
3,964439
4,934916
5,962803
6,965315
7,999475
8,980948
9,990456
10,949754
11,921346
12,890620
13,882907
14,872783
15,901815
16,882469
17,867672
18,955815
19,886433
20,865448
21,627565
22,606799
23,622814
24,593620
25,641905
26,607256
27,620470
28,670862
29,578137
30,653619
31,241332
32,218759
33,342868
34,201928
35,249598
36,244515
37,334242
38,201239
39,299783
40,209129
41,1054338
42,995490
43,975835
44,990427
45,956354
46,990917
47,996707
48,919357
49,1024505
50,1011731
51,930158
52,933332
53,889060
54,968731
55,939633
56,968894
57,960807
58,902644
59,912964
60,916546
61,724279
62,619503
63,550063
64,653193
65,662076
66,664379
67,703185
68,704596
69,643811
70,679331
71,152553
72,173407
73,177773
74,158373
75,206498
76,229847
77,281226
78,208648
79,191474
80,222725
81,951297
82,973094
83,997862
84,979710
85,963847
86,946715
87,969048
88,979395
89,989067
90,918374
91,941411
92,933653
93,1005865
94,917884
95,965555
96,926015
97,958538
98,950369
99,919135
100,980994
101,655772
102,618359
103,653662
104,736229
105,643667
106,646323
107,691574
108,648335
109,675417
110,672046
111,165125
112,175312
113,194229
114,226838
115,228676
116,351422
117,205708
118,147489
119,181306
120,142040
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036176
141,736412
142,681875
143,673780
144,705552
145,654460
146,723348
147,638856
148,675309
149,712287
150,681745
151,171102
152,165998
153,252920
154,204622
155,188028
156,155690
157,140982
158,239679
159,181796
160,203247
161,1824596
162,1907689
163,1839398
164,1893694
165,1890878
166,2047632
167,1960276
168,1843845
169,1888043
170,1943947
171,1847056
172,1817848
173,1795890
174,1806674
175,1748539
176,1837332
177,1822697
178,1707786
179,1796785
180,1749637
181,1216394
182,1184426
183,1215602
184,1229693
185,1114724
186,1142939
187,1156406
188,1196343
189,1208146
190,1203272
191,458515
192,361329
193,471187
194,402903
195,597546
196,471552
197,431038
198,435647
199,458482
200,316214
201,1890438
202,1939978
203,1953217
204,2019165
205,1997185
206,1985526
207,1977260
208,1950196
209,1889829
210,1953177
211,1875457
212,1869198
213,1797981
214,1898024
215,1893478
216,1889994
217,1878767
218,1909635
219,1797390
220,1839444
221,1304463
222,1341640
223,1354744
224,1266320
225,1295299
226,1426150
227,1315202
228,1238824
229,1295770
230,1268371
231,385932
232,398985
233,348138
234,255815
235,360075
236,421052
237,414528
238,354111
239,412035
240,369849
241,1965414
242,1943787
243,1908485
244,1949780
245,1904830
246,1963512
247,1931675
248,2004683
249,1931748
250,1950235
251,1938544
252,1857112
253,1914606
254,1951211
255,1943326
256,1955161
257,1917633
258,1970243
259,1933661
260,1794472
261,1350925
262,1325132
263,1349866
264,1366573
265,1351906
266,1314427
267,1409084
268,1375919
269,1329159
270,1290982
271,410252
272,291082
273,402968
274,328402
275,419760
276,387925
277,393607
278,346250
279,309643
280,367929
281,2013847
282,2001229
283,1897999
284,1959339
285,2004526
286,1954104
287,2047298
288,1973567
289,1998237
290,2008588
291,1966536
292,1983841
293,1941011
294,1992255
295,1914651
296,2026569
297,1938640
298,1956030
299,1893317
300,2077337
301,1459568
302,1397016
303,1379887
304,1277846
305,1306359
306,1451098
307,1395160
308,1365623
309,1389553
310,1416429
311,392111
312,495841
313,349751
314,330014
315,313245
316,357522
317,384420
318,408106
319,307766
320,444422
321,2665561
322,2870270
323,2788391
324,2810902
325,2834971
326,2959850
327,2984233
328,2904174
329,2889853
330,2889553
331,2750541
332,2736461
333,2707447
334,2506728
335,2685621
336,2573318
337,2547971
338,2472352
339,2632383
340,2643787
341,1796085
342,1749453
343,1812976
344,1749187
345,1728365
346,1590867
347,1742561
348,1746512
349,1851943
350,1707134
351,612721
352,549285
353,720566
354,550698
355,545138
356,564400
357,731720
358,619165
359,497356
360,521964
361,2894748
362,2982510
363,2880906
364,2938659
365,2871598
366,2950286
367,2913772
368,2893213
369,2923112
370,2989682
371,2830421
372,2879822
373,2791082
374,2786298
375,2813572
376,2721004
377,2800609
378,2712609
379,2747957
380,2724839
381,1993441
382,2011114
383,1963264
384,1945176
385,2042926
386,1972971
387,2019785
388,1855200
389,1855902
390,1838936
391,523907
392,471345
393,457696
394,540149
395,531277
396,562231
397,516491
398,544408
399,527474
400,481478
401,2961019
402,2991942
403,2918379
404,2925975
405,2836364
406,2964008
407,2934008
408,2934723
409,2957115
410,3031639
411,2791523
412,2907343
413,2865147
414,2869799
415,2778957
416,2884063
417,2849605
418,2849490
419,2827954
420,2936025
421,2193694
422,2043000
423,2072887
424,2152005
425,1983806
426,2176476
427,2137390
428,2018883
429,2049335
430,1984244
431,535242
432,452445
433,387365
434,600359
435,564061
436,491499
437,465873
438,671023
439,513596
440,536138
441,2959956
442,2957084
443,2969501
444,2943634
445,3052707
446,2998204
447,3030810
448,2970481
449,2973594
450,2957830
451,3043164
452,2948818
453,2965878
454,2986536
455,2923721
