Instance,Costs
1,923293
2,946731
3,964981
4,935061
5,963070
6,965140
7,999463
8,981418
9,990542
10,949405
11,920880
12,885745
13,880719
14,877002
15,902681
16,881469
17,868440
18,955122
19,887679
20,870719
21,639495
22,612070
23,611868
24,607022
25,656758
26,596910
27,652593
28,651698
29,585231
30,658386
31,253991
32,220144
33,343024
34,200798
35,249243
36,251673
37,289852
38,237793
39,283729
40,210050
41,1053487
42,998666
43,974726
44,991590
45,959078
46,992963
47,996340
48,919298
49,1024727
50,1013033
51,944614
52,929360
53,894037
54,983944
55,942463
56,975493
57,973465
58,931130
59,918146
60,917117
61,643631
62,568206
63,532279
64,608352
65,601727
66,598789
67,660706
68,632416
69,588180
70,601735
71,152553
72,174703
73,178004
74,160558
75,180110
76,230009
77,263100
78,198649
79,189773
80,216133
81,953370
82,974920
83,996947
84,978849
85,966898
86,945363
87,969646
88,980017
89,990067
90,923167
91,912469
92,924120
93,982686
94,896752
95,956434
96,922968
97,957690
98,924110
99,901239
100,946154
101,567688
102,567185
103,580061
104,614286
105,558076
106,575778
107,602035
108,582808
109,602981
110,582068
111,162991
112,171803
113,186726
114,224188
115,222662
116,324648
117,202704
118,144439
119,176792
120,135677
121,900697
122,1059075
123,1002999
124,978220
125,948861
126,1005019
127,1001005
128,996806
129,1039164
130,981572
131,943249
132,934645
133,935351
134,963864
135,954364
136,951513
137,899348
138,941070
139,878723
140,965797
141,608132
142,595025
143,599063
144,618479
145,590188
146,597801
147,556943
148,584158
149,597526
150,596258
151,159263
152,159350
153,240923
154,200922
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1826215
162,1908080
163,1838815
164,1894576
165,1895363
166,2047968
167,1960433
168,1844654
169,1887228
170,1944622
171,1851261
172,1818670
173,1793443
174,1810192
175,1745426
176,1834374
177,1828544
178,1709470
179,1801221
180,1751718
181,1218198
182,1189292
183,1222751
184,1218404
185,1135627
186,1147419
187,1160939
188,1174294
189,1194881
190,1219397
191,548599
192,405995
193,480902
194,343806
195,529235
196,472793
197,431151
198,455543
199,504787
200,307914
201,1891454
202,1939147
203,1958955
204,2018905
205,2001797
206,1986598
207,1977089
208,1952666
209,1888485
210,1959170
211,1899766
212,1862882
213,1803293
214,1913205
215,1908317
216,1890718
217,1868974
218,1932379
219,1815786
220,1849393
221,1178131
222,1252224
223,1236257
224,1150046
225,1193242
226,1310264
227,1165986
228,1148940
229,1171513
230,1177735
231,380927
232,393113
233,340459
234,255815
235,355459
236,397752
237,405665
238,349775
239,407819
240,361166
241,1965475
242,1945881
243,1905912
244,1948375
245,1909528
246,1966009
247,1931553
248,2007779
249,1928841
250,1956244
251,1868117
252,1799977
253,1855928
254,1885226
255,1897824
256,1849232
257,1822539
258,1911009
259,1892055
260,1743584
261,1144542
262,1191039
263,1172082
264,1209605
265,1190541
266,1150337
267,1160422
268,1177599
269,1126096
270,1144567
271,400615
272,288306
273,399851
274,326829
275,411206
276,385096
277,391435
278,343515
279,309168
280,357158
281,1990138
282,1977167
283,1876334
284,1937919
285,1988301
286,1926837
287,2017411
288,1952809
289,1989326
290,1988027
291,1843805
292,1871691
293,1825372
294,1858183
295,1762708
296,1919147
297,1816853
298,1810774
299,1780431
300,1906840
301,1206532
302,1231150
303,1198820
304,1116692
305,1176556
306,1202555
307,1223446
308,1171400
309,1120554
310,1186215
311,374146
312,474110
313,344813
314,328552
315,308172
316,355902
317,382442
318,400356
319,299633
320,431614
321,2665856
322,2871209
323,2789168
324,2813330
325,2832663
326,2959447
327,2984888
328,2903949
329,2887822
330,2890496
331,2756325
332,2737932
333,2710397
334,2507297
335,2684464
336,2579382
337,2547097
338,2476115
339,2640000
340,2640448
341,1808391
342,1763594
343,1801538
344,1783436
345,1721860
346,1610741
347,1751549
348,1749116
349,1879573
350,1706149
351,615752
352,585998
353,718105
354,500907
355,502170
356,535579
357,718914
358,659493
359,499701
360,572040
361,2892389
362,2984998
363,2884872
364,2938675
365,2871718
366,2951356
367,2916993
368,2895048
369,2922757
370,2988178
371,2831272
372,2868446
373,2776944
374,2812937
375,2791219
376,2724586
377,2801258
378,2721218
379,2764395
380,2715210
381,1802857
382,1831841
383,1814858
384,1766403
385,1855542
386,1807919
387,1836599
388,1741006
389,1712973
390,1740899
391,511242
392,469173
393,455986
394,531066
395,522212
396,559209
397,513688
398,533712
399,518281
400,473732
401,2953161
402,2984733
403,2919159
404,2930204
405,2837991
406,2953144
407,2929091
408,2928714
409,2943861
410,3035169
411,2699608
412,2743089
413,2754634
414,2725763
415,2654059
416,2748524
417,2719699
418,2748444
419,2730070
420,2781005
421,1851709
422,1787485
423,1779877
424,1754659
425,1698934
426,1772869
427,1827263
428,1780728
429,1723386
430,1756563
431,526458
432,450559
433,386989
434,597510
435,549310
436,490887
437,456340
438,655027
439,511196
440,531290
441,2918665
442,2915095
443,2926459
444,2908579
445,3004870
446,2959218
447,2990781
448,2939901
449,2944146
450,2920211
451,2836667
452,2709043
453,2712835
