Instance,Costs
1,922368
2,945479
3,964960
4,935586
5,962967
6,965291
7,999059
8,981073
9,991030
10,949908
11,925353
12,887382
13,886739
14,870707
15,904466
16,883382
17,867695
18,957966
19,884945
20,866759
21,634584
22,603314
23,602891
24,600215
25,653422
26,598995
27,614485
28,664501
29,597084
30,644201
31,221077
32,273988
33,319316
34,226443
35,255999
36,251162
37,346365
38,246266
39,295361
40,237935
41,1053482
42,996766
43,971926
44,991015
45,956629
46,987591
47,997092
48,920677
49,1026775
50,1012479
51,935395
52,935198
53,886415
54,976997
55,937041
56,972444
57,966819
58,909936
59,906588
60,919654
61,702152
62,600134
63,620663
64,681687
65,675970
66,643791
67,708943
68,681809
69,646763
70,641060
71,224520
72,257567
73,398668
74,180688
75,245346
76,270472
77,425349
78,268167
79,252308
80,397308
81,950758
82,973427
83,995007
84,980665
85,959127
86,947397
87,967011
88,976973
89,987189
90,919799
91,929492
92,921062
93,999451
94,917441
95,963492
96,927210
97,961398
98,945731
99,904863
100,966041
101,843402
102,768545
103,686176
104,813926
105,716759
106,734499
107,749440
108,812599
109,793554
110,757565
111,199940
112,319136
113,252541
114,264778
115,517841
116,541820
117,411167
118,303272
119,306420
120,228585
121,900670
122,1053882
123,996831
124,981182
125,946007
126,1005026
127,1003237
128,996487
129,1032382
130,987225
131,977150
132,998100
133,996643
134,1027551
135,1025549
136,1002446
137,943091
138,1001897
139,920016
140,1034692
141,1059501
142,857263
143,814723
144,925805
145,952897
146,873402
147,854928
148,996213
149,852487
150,906200
151,394745
152,444501
153,574158
154,408889
155,326049
156,232319
157,340619
158,449355
159,414257
160,461319
161,1825981
162,1908566
163,1839160
164,1895588
165,1891021
166,2048170
167,1958441
168,1844738
169,1887943
170,1943913
171,1853501
172,1818088
173,1802119
174,1810089
175,1756920
176,1848601
177,1820676
178,1708940
179,1802206
180,1754374
181,1227530
182,1200022
183,1227162
184,1221228
185,1161439
186,1135315
187,1184210
188,1220431
189,1226296
190,1217467
191,544757
192,418434
193,447248
194,350395
195,610104
196,508952
197,491102
198,515807
199,536134
200,386485
201,1892907
202,1944816
203,1954564
204,2016005
205,1995949
206,1983911
207,1977944
208,1948611
209,1888933
210,1953999
211,1885237
212,1880548
213,1798745
214,1895812
215,1914171
216,1897279
217,1875672
218,1913315
219,1832206
220,1843859
221,1351372
222,1405426
223,1322322
224,1309098
225,1377131
226,1454217
227,1358384
228,1309432
229,1275268
230,1298084
231,552681
232,451277
233,452181
234,285603
235,456978
236,498006
237,613739
238,437581
239,481066
240,465336
241,1960750
242,1941921
243,1901739
244,1945280
245,1907054
246,1961058
247,1931233
248,2004702
249,1933328
250,1946024
251,1939883
252,1840696
253,1921804
254,1936972
255,1952845
256,1908077
257,1896732
258,1958551
259,1948183
260,1792261
261,1507194
262,1614149
263,1471191
264,1482422
265,1580619
266,1406548
267,1588245
268,1699627
269,1497983
270,1501018
271,929195
272,651041
273,817793
274,453171
275,838812
276,548083
277,623019
278,536303
279,726222
280,645376
281,2004394
282,1997736
283,1885489
284,1951950
285,1999115
286,1942729
287,2031031
288,1972186
289,1999799
290,2004713
291,1960995
292,1985584
293,1966961
294,1987580
295,1879954
296,2015590
297,1931324
298,1929660
299,1893726
300,1993721
301,1693724
302,1867362
303,1909251
304,1697011
305,1868809
306,1813598
307,1985102
308,1829216
309,1832197
310,1716154
311,818058
312,1475174
313,745649
314,1044683
315,499493
316,895170
317,1220029
318,1272096
319,1233152
320,853691
321,2665659
322,2871404
323,2790648
324,2811618
325,2834071
326,2960658
327,2985818
328,2904757
329,2889795
330,2891853
331,2754867
332,2739195
333,2710365
334,2510036
335,2688955
336,2585209
337,2543647
338,2481657
339,2637086
340,2649906
341,1784502
342,1759863
343,1823742
344,1755716
345,1797857
346,1596339
347,1765691
348,1783652
349,1840409
350,1714355
351,779160
352,558398
353,745739
354,578104
355,493821
356,585690
357,747354
358,677434
359,588580
360,543318
361,2896435
362,2980594
363,2876967
364,2935371
365,2868947
366,2947833
367,2914626
368,2889736
369,2924400
370,2988834
371,2845918
372,2854413
373,2775172
374,2810373
375,2826767
376,2732338
377,2809701
378,2738652
379,2761229
380,2705791
381,2041106
382,2014017
383,2063665
384,1973348
385,2049226
386,2039867
387,2095515
388,1900267
389,1946470
390,1942453
391,778987
392,654718
393,564719
394,699240
395,752455
396,662969
397,835027
398,690224
399,730173
400,616031
401,2951268
402,2981869
403,2919186
404,2935116
405,2837490
406,2948266
407,2931587
408,2922615
409,2951860
410,3025448
411,2793128
412,2868094
413,2858965
414,2815670
415,2789994
416,2838589
417,2846382
418,2855039
419,2830040
420,2876332
421,2443963
422,2292383
423,2231157
424,2306764
425,2243059
426,2310030
427,2256870
428,2144911
429,2229133
430,2226505
431,1058085
432,1086614
433,870450
434,997408
435,898214
436,844425
437,980579
438,957466
439,1313512
440,907156
441,2948733
442,2943241
443,2951233
444,2931706
445,3030610
446,2986078
447,3015689
448,2965681
449,2973881
450,2951605
451,3007273
452,2902434
453,2873184
454,2970331
455,2882216
456,2924554
457,2922374
458,2860898
459,3016694
460,3005710
461,2550890
462,2437414
463,2703291
464,2759991
465,2738276
466,2704863
467,2697209
468,2579928
469,2589184
470,2749133
471,1228447
472,1988468
473,1873462
474,1111509
475,2235271
476,1313752
477,1327524
478,1194099
479,2218378
480,1796036
481,5028156
482,4745117
483,4891341
484,4872058
485,4873237
486,4919266
487,4864347
488,4716367
489,4928163
490,4913952
491,4458723
492,4608517
493,4598697
494,4601862
495,4515049
496,4212088
497,4636026
498,4573934
499,4597361
500,4451490
501,3013636
502,2957058
503,2877793
504,2872473
505,2968849
506,3006796
507,2994873
508,2793502
509,2743575
510,2933956
511,807338
512,1136161
513,887040
514,823030
515,1186924
516,1161476
517,938684
518,998568
519,857238
520,1046689
521,4911048
522,4942243
523,4921112
524,4898576
525,4901533
526,4857404
527,4946583
528,4760040
529,5004792
530,4927077
531,4591854
532,4590462
533,4657172
534,4537915
535,4676692
536,4591147
537,4722697
538,4539178
539,4571995
540,4531404
541,3369349
542,3184588
543,3489634
544,3344506
545,3080300
546,3203379
547,3296031
548,3353103
549,3181868
550,3248626
551,1213546
552,1527559
553,947928
554,1272071
555,1781221
556,1397761
557,1306489
558,1278285
559,1249761
560,990889
561,4988700
562,4974636
563,4959566
564,4862170
565,4832459
566,4985665
567,4994835
568,4973633
569,4953703
570,4955426
571,4706279
572,4758870
573,4770381
574,4705963
575,4676690
576,4634661
577,4771927
578,4898809
579,4852868
580,4761858
581,3843304
582,3907559
583,3757790
584,3932048
585,3709971
586,3691710
587,3826875
588,3948612
589,3782675
590,3991252
591,2641724
592,1784354
593,1768874
594,1669010
595,1872530
596,1486594
597,1693481
598,1485912
599,1953206
600,1633120
601,4874540
602,4937436
