Instance,Costs
1,922046
2,945664
3,965454
4,934948
5,963172
6,965391
7,1000109
8,981427
9,990742
10,950045
11,924670
12,891629
13,880778
14,874240
15,902314
16,884428
17,867695
18,954271
19,882382
20,864866
21,625865
22,628481
23,595639
24,593355
25,677399
26,604327
27,619322
28,664140
29,578280
30,648802
31,229531
32,229425
33,379260
34,222115
35,249089
36,271574
37,313011
38,213040
39,256555
40,217285
41,1055028
42,995978
43,975125
44,990549
45,956570
46,989926
47,996546
48,919435
49,1024505
50,1011664
51,933098
52,933332
53,891520
54,968731
55,939569
56,970479
57,960015
58,902644
59,912897
60,921553
61,709466
62,680616
63,587798
64,686941
65,711968
66,664493
67,731756
68,703026
69,632406
70,656508
71,181937
72,253878
73,246297
74,184796
75,188174
76,295851
77,316166
78,239563
79,204234
80,234738
81,951210
82,973094
83,997862
84,980031
85,965057
86,946715
87,969048
88,978998
89,989067
90,918374
91,940321
92,933653
93,1005865
94,917884
95,965555
96,926215
97,958538
98,950369
99,919135
100,980994
101,764171
102,734834
103,745690
104,782459
105,712030
106,679481
107,764458
108,788788
109,813223
110,747574
111,179388
112,187402
113,199892
114,234082
115,249341
116,371670
117,217136
118,167031
119,207634
120,143704
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036118
141,940094
142,772929
143,805446
144,867954
145,819907
146,852095
147,799094
148,767251
149,866390
150,803724
151,180202
152,168946
153,300560
154,202562
155,240108
156,159683
157,155418
158,248991
159,198533
160,213799
161,1825165
162,1909599
163,1839043
164,1894074
165,1891649
166,2048243
167,1960366
168,1844668
169,1888464
170,1943761
171,1851089
172,1815881
173,1796979
174,1815743
175,1745865
176,1844162
177,1820523
178,1707501
179,1797593
180,1748123
181,1221678
182,1216478
183,1230165
184,1232865
185,1119384
186,1144827
187,1153865
188,1172705
189,1193231
190,1219430
191,499588
192,413880
193,455923
194,351682
195,571535
196,510054
197,382156
198,463123
199,480508
200,287793
201,1890672
202,1941067
203,1953586
204,2020012
205,1998229
206,1985168
207,1978141
208,1949372
209,1889744
210,1953818
211,1877521
212,1874676
213,1798678
214,1898328
215,1893482
216,1889202
217,1877231
218,1909795
219,1799756
220,1841256
221,1365994
222,1406222
223,1405516
224,1306550
225,1352826
226,1436064
227,1349617
228,1310328
229,1310335
230,1292743
231,396535
232,419707
233,379643
234,278192
235,381251
236,430029
237,469379
238,359733
239,412035
240,379513
241,1965414
242,1943787
243,1908485
244,1949780
245,1904830
246,1965614
247,1931675
248,2004398
249,1931614
250,1951730
251,1938733
252,1857112
253,1914606
254,1950549
255,1942922
256,1955715
257,1917633
258,1970243
259,1933661
260,1794472
261,1583164
262,1511002
263,1600793
264,1493258
265,1512055
266,1454485
267,1503354
268,1603130
269,1500745
270,1433698
271,424313
272,314533
273,417457
274,328485
275,467122
276,402825
277,420137
278,345197
279,321505
280,378829
281,2013847
282,2001229
283,1897999
284,1959339
285,2004526
286,1954104
287,2047298
288,1973567
289,1998237
290,2008588
291,1966536
292,1983841
293,1941011
294,1992255
295,1914651
296,2026362
297,1938640
298,1956030
299,1893317
300,2077337
301,1631882
302,1756817
303,1757577
304,1605962
305,1694629
306,1798557
307,1833012
308,1681739
309,1654132
310,1597056
311,396246
312,546797
313,362019
314,347954
315,315271
316,365596
317,391887
318,428640
319,316894
320,487009
321,2664078
322,2871997
323,2787803
324,2809368
325,2834944
326,2960948
327,2985323
328,2904009
329,2888261
330,2888640
331,2752689
332,2737780
333,2708757
334,2507498
335,2688883
336,2577001
337,2545630
338,2473884
339,2634500
340,2641312
341,1778631
342,1748725
343,1812443
344,1729437
345,1730681
346,1619581
347,1773818
348,1757417
349,1849331
350,1710498
351,614597
352,513449
353,792148
354,516677
355,469846
356,604612
357,685799
358,732397
359,489931
360,541132
361,2895524
362,2982930
363,2883168
364,2938225
365,2871791
366,2950542
367,2914411
368,2894253
369,2923704
370,2988020
371,2829527
372,2876843
373,2786331
374,2794108
375,2817108
376,2722832
377,2800609
378,2714619
379,2751984
380,2723053
381,2067481
382,1984319
383,2059239
384,1945176
385,2038934
386,1972287
387,2042594
388,1912622
389,1916722
390,1920223
391,551160
392,502240
393,459995
394,562196
395,544337
396,582353
397,531975
398,550570
399,532558
400,493085
401,2961019
402,2991942
403,2919168
404,2925975
405,2837239
406,2964943
407,2934390
408,2934723
409,2957180
410,3032997
411,2791523
412,2907343
413,2865147
414,2869799
415,2778957
416,2884683
417,2849502
418,2849475
419,2831992
420,2936025
421,2410809
422,2359662
423,2291048
424,2358977
425,2180218
426,2347877
427,2293518
428,2350300
429,2320058
430,2202313
431,539057
432,463737
433,389954
434,608087
435,581842
436,518027
437,492313
438,676380
439,519935
440,555745
441,2959956
442,2957084
443,2969501
444,2943634
445,3052707
446,2998204
447,3030810
448,2970481
449,2973594
450,2957830
451,3043164
452,2948818
453,2965878
454,2986308
455,2923721
456,2967909
457,2923767
458,2878290
459,3061982
460,3014368
461,2595534
462,2267862
463,2700843
464,2707746
465,2734373
466,2553634
467,2694487
468,2589024
469,2565210
470,2552812
471,499698
472,483871
473,640060
474,534750
475,616673
476,616281
477,534104
478,451456
479,707030
480,596160
481,5027777
482,4743870
483,4890485
484,4876494
485,4875113
486,4919415
487,4866262
488,4715537
489,4930171
490,4912211
491,4459850
492,4602447
493,4598571
494,4604330
495,4503601
496,4201254
497,4634714
498,4567052
499,4582538
500,4448562
501,2954458
502,2934333
503,2845594
504,2866895
505,2929399
506,2985317
507,2982356
508,2792674
509,2671610
510,2935084
511,820413
512,1005534
513,900036
514,675172
515,1012111
516,1125815
517,850266
518,887751
519,1011783
520,1138007
521,4911566
522,4948068
523,4925005
524,4901130
525,4903339
526,4854383
527,4944857
528,4759125
529,5006474
530,4921727
531,4621652
532,4593687
533,4670557
534,4564132
535,4710697
536,4582734
537,4723203
538,4541777
539,4554685
540,4558181
541,3426967
542,3175909
543,3340607
544,3445502
545,3242511
546,3291572
547,3242157
548,3309965
549,3210171
550,3278879
551,827077
552,1010308
553,790831
554,974510
555,1016635
556,1019748
557,961864
558,1023143
559,903606
560,829741
561,5010576
562,4979386
563,4965042
564,4869544
565,4837877
566,4999241
567,5006515
568,4989118
569,4953973
570,4976332
571,4791675
572,4811052
573,4761447
574,4735921
575,4761730
576,4663111
577,4903294
578,4926415
579,4870296
580,4752046
581,3758103
582,4086472
583,3947454
584,3955216
585,3685258
586,3931010
587,3756325
588,3824839
589,4039970
590,3966027
591,1078749
592,804573
593,1015726
594,967609
595,1050432
596,888630
597,902449
598,907654
599,884144
600,943993
601,4874449
602,4951687
603,4983359
604,4889614
605,5061694
606,4972247
607,4903372
608,4888652
609,4942580
610,5094535
611,4999746
612,4842730
613,5162528
614,4933664
615,4950252
616,5044541
617,5011909
618,5016025
619,4871423
620,4851390
621,4425335
