Instance,Costs
1,922247
2,945725
3,965822
4,934961
5,962712
6,965703
7,999739
8,981723
9,990398
10,950290
11,925331
12,890620
13,882907
14,872783
15,901913
16,882469
17,867672
18,953301
19,886433
20,865448
21,627565
22,628481
23,622814
24,593620
25,641905
26,607256
27,620470
28,665534
29,578137
30,653619
31,241332
32,218759
33,344993
34,201928
35,249598
36,244515
37,334242
38,201239
39,299783
40,209129
41,1055332
42,995684
43,975059
44,990613
45,956488
46,989851
47,996699
48,919435
49,1024907
50,1011438
51,930158
52,933332
53,890508
54,968731
55,939633
56,968894
57,962271
58,902404
59,913023
60,919410
61,724279
62,619503
63,550063
64,653193
65,662076
66,664379
67,703185
68,704596
69,643811
70,679331
71,152553
72,173407
73,216805
74,158373
75,206498
76,229847
77,281226
78,208648
79,191474
80,222725
81,951297
82,973094
83,997862
84,979710
85,965057
86,946715
87,969048
88,978998
89,989067
90,918374
91,941411
92,933653
93,1005865
94,917884
95,965555
96,926015
97,958538
98,950369
99,919135
100,980994
101,655772
102,618359
103,653662
104,736229
105,643667
106,646323
107,691574
108,664924
109,675417
110,676501
111,165125
112,175312
113,194229
114,231922
115,228676
116,351422
117,205708
118,147489
119,181306
120,142040
121,900907
122,1059437
123,1002336
124,981810
125,956403
126,1012001
127,1002490
128,999785
129,1035508
130,987097
131,1016543
132,1030506
133,1002412
134,1030377
135,1019370
136,1037400
137,943136
138,996792
139,959702
140,1036176
141,736412
142,681875
143,673780
144,705552
145,654460
146,723348
147,638856
148,675309
149,712287
150,681745
151,171102
152,165998
153,252920
154,202562
155,199069
156,155690
157,140982
158,239679
159,181796
160,203247
161,1825346
162,1909282
163,1839372
164,1894180
165,1891930
166,2047924
167,1960518
168,1844469
169,1887664
170,1944478
171,1847056
172,1817364
173,1794725
174,1806751
175,1748539
176,1835142
177,1818296
178,1707925
179,1797593
180,1750565
181,1220585
182,1178348
183,1227176
184,1229693
185,1114724
186,1142939
187,1156406
188,1178527
189,1208146
190,1209351
191,458515
192,361329
193,471187
194,402903
195,597546
196,471552
197,431038
198,435647
199,458482
200,316214
201,1890964
202,1941067
203,1953611
204,2019966
205,1998229
206,1984980
207,1978141
208,1949480
209,1890574
210,1953877
211,1876601
212,1874292
213,1797981
214,1898024
215,1893227
216,1889202
217,1875809
218,1909795
219,1797390
220,1841859
221,1306407
222,1341640
223,1354744
224,1266320
225,1295299
226,1426150
227,1315202
228,1238824
229,1295770
230,1268371
231,385932
232,398985
233,348138
234,256183
235,360075
236,421052
237,414528
238,354111
239,412035
240,369617
241,1965521
242,1943895
243,1908485
244,1949780
245,1904903
246,1965614
247,1931675
248,2004738
249,1931748
250,1951518
251,1939147
252,1857112
253,1914606
254,1950265
255,1943326
256,1955715
257,1917633
258,1970243
259,1933661
260,1794472
261,1350925
262,1325132
263,1349866
264,1366573
265,1351906
266,1314427
267,1409084
268,1375919
269,1329159
270,1290982
271,410252
272,291082
273,402968
274,328402
275,419760
276,387925
277,393607
278,346250
279,309643
280,367929
281,2013847
282,2001229
283,1897999
284,1959339
285,2004526
286,1954104
287,2047298
288,1973567
289,1998237
290,2008588
291,1966536
292,1983841
293,1941011
294,1992255
295,1914651
296,2026569
297,1938640
298,1956030
299,1893317
300,2077337
301,1459568
302,1397016
303,1379887
304,1277846
305,1306359
306,1451098
307,1395160
308,1365623
309,1389553
310,1416429
311,392111
312,495841
313,349751
314,330014
315,312413
316,357522
317,382834
318,408106
319,307766
320,444422
321,2664399
322,2869596
323,2788005
324,2809314
325,2833523
326,2961129
327,2985471
328,2905991
329,2886247
330,2888447
331,2750195
332,2736506
333,2707447
334,2508312
335,2685813
336,2573617
337,2548160
338,2477350
339,2634351
340,2644700
341,1796085
342,1749453
343,1812976
344,1749187
345,1730140
346,1586348
347,1756668
348,1746512
349,1865227
350,1689398
351,612721
352,569085
353,750730
354,550698
355,545138
356,564400
357,731720
358,640375
359,497356
360,521964
361,2895194
362,2982948
363,2883095
364,2939041
365,2871165
366,2950542
367,2914411
368,2894372
369,2923758
370,2987737
371,2832021
372,2877621
373,2785563
374,2789443
375,2813572
376,2726509
377,2800609
378,2714619
379,2747668
380,2724839
381,2018001
382,2010550
383,1963264
384,1945176
385,2054343
386,1963686
387,2019785
388,1862830
389,1855902
390,1846251
391,523907
392,469173
393,457696
394,540149
395,531277
396,563626
397,516491
398,544408
399,527474
400,481478
401,2961019
402,2991942
403,2919156
404,2925975
405,2837239
406,2964943
407,2934396
408,2934723
409,2957180
410,3032997
411,2791523
412,2907343
413,2865147
414,2869799
415,2778957
416,2884063
417,2849605
418,2849490
419,2832002
420,2936025
421,2193694
422,2043000
423,2072887
424,2152005
425,1983806
426,2176476
427,2105937
428,2018883
429,2049335
430,1984244
431,535242
432,452445
433,387365
434,599939
435,564061
436,491499
437,465873
438,671023
439,513596
440,536138
441,2959956
442,2957084
443,2969501
444,2943634
445,3052707
446,2998204
447,3030810
448,2970481
449,2973594
450,2957830
451,3043164
452,2948818
453,2965878
454,2986536
455,2923721
456,2967909
457,2923800
458,2878290
459,3061982
460,3014368
461,2075715
462,2021630
463,2104122
464,2083531
465,2062268
466,2002887
467,2326895
468,2074234
469,2140628
470,1994832
471,495618
472,473647
473,611812
474,531510
475,605319
476,599332
477,522019
478,433702
479,680952
480,578369
481,5025700
482,4743353
483,4890449
484,4874883
485,4875426
486,4919059
487,4866786
488,4715491
489,4927220
490,4912112
491,4457758
492,4600026
493,4599633
494,4600583
495,4502519
496,4200092
497,4638303
498,4567693
499,4582619
500,4448562
501,2958152
502,2919107
503,2845893
504,2858072
505,2934362
506,2987753
507,2982591
508,2789156
509,2665566
510,2942036
511,856735
512,1126579
513,871435
514,731325
515,1028331
516,1169492
517,871682
518,976331
519,878847
520,1014118
521,4911235
522,4947939
523,4926143
524,4901075
525,4903139
526,4854215
527,4944832
528,4758462
529,5006550
530,4921490
531,4621588
532,4594366
533,4671089
534,4564132
535,4709646
536,4582756
537,4720745
538,4539877
539,4551610
540,4556811
541,3321716
542,3159223
543,3246211
544,3323954
545,3177460
546,3215003
547,3194528
548,3208615
549,3134134
550,3230883
551,809707
552,984344
553,781189
554,955671
555,995774
556,1015665
557,941903
558,1005331
559,893999
560,825990
561,5010576
562,4979686
563,4964815
564,4869346
565,4837877
566,4999241
567,5006627
568,4989118
569,4953677
570,4976743
571,4791675
572,4811064
573,4761447
574,4735921
575,4761730
576,4662528
577,4903371
578,4926470
579,4873020
580,4752125
581,3340849
582,3407642
583,3455344
584,3376350
585,3412523
586,3413560
587,3403627
588,3550870
589,3353507
590,3554730
591,1069028
592,783706
593,987327
594,944505
595,1037962
596,877445
597,893961
598,909046
599,860484
600,923996
601,4874449
602,4951687
603,4983359
604,4889614
605,5061694
606,4972247
607,4903372
608,4888652
609,4942580
610,5094535
611,4999746
612,4842730
613,5162528
614,4933831
615,4950252
616,5044541
617,5011909
618,5016025
619,4871527
620,4851390
621,3497632
622,3483932
623,3534813
624,3516072
625,3568640
626,3437276
627,3484390
628,3345028
629,3570353
630,3419652
631,900116
632,929210
633,909598
634,901958
635,889896
636,1067683
637,877982
638,977193
639,910797
640,921520
