Instance,Costs
1,923287
2,946460
3,965584
4,935669
5,963162
6,965455
7,999902
8,982112
9,990696
10,949987
11,926016
12,881621
13,885783
14,872683
15,905853
16,880441
17,866862
18,958383
19,886022
20,867163
21,620140
22,620338
23,594873
24,591492
25,652878
26,598887
27,612180
28,666152
29,595485
30,649420
31,252193
32,246266
33,286255
34,218314
35,265455
36,264144
37,353596
38,207280
39,278314
40,198897
41,1050800
42,993662
43,969681
44,989131
45,954079
46,985045
47,993522
48,915314
49,1022010
50,1009999
51,924705
52,914321
53,877630
54,954664
55,921593
56,952743
57,948110
58,890122
59,892234
60,900131
61,633175
62,562986
63,520017
64,591644
65,580726
66,574945
67,639445
68,613304
69,571021
70,592999
71,152553
72,172383
73,189199
74,158281
75,187688
76,228758
77,261955
78,198649
79,189773
80,224163
81,940654
82,966831
83,987029
84,971977
85,954826
86,936643
87,960382
88,971007
89,978480
90,912716
91,899185
92,895237
93,956913
94,875591
95,929734
96,897340
97,931759
98,904567
99,873267
100,934489
101,566430
102,564582
103,576152
104,606985
105,552379
106,575778
107,602035
108,581628
109,600337
110,576734
111,162991
112,171803
113,186607
114,224188
115,222662
116,324648
117,202601
118,144439
119,176792
120,135677
121,893220
122,1044394
123,987692
124,967151
125,939306
126,994845
127,990506
128,985957
129,1022204
130,971435
131,932672
132,928864
133,931740
134,958154
135,948292
136,943018
137,894115
138,936642
139,871702
140,958936
141,607952
142,594216
143,599063
144,618479
145,590188
146,597801
147,556943
148,581956
149,596590
150,595701
151,159263
152,159350
153,240090
154,200922
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1825631
162,1909968
163,1838670
164,1895417
165,1890955
166,2048206
167,1961252
168,1846222
169,1888220
170,1943451
171,1850524
172,1812630
173,1794407
174,1811334
175,1750171
176,1851748
177,1818443
178,1708821
179,1799093
180,1754210
181,1223480
182,1187190
183,1230232
184,1259870
185,1165366
186,1118592
187,1151776
188,1185391
189,1238087
190,1210142
191,558397
192,457339
193,501043
194,357926
195,625760
196,498489
197,454715
198,530444
199,528807
200,384174
201,1885127
202,1936064
203,1951012
204,2011886
205,1990262
206,1977377
207,1970584
208,1944048
209,1882214
210,1948570
211,1844619
212,1844175
213,1766103
214,1873395
215,1861682
216,1861134
217,1834610
218,1887331
219,1775863
220,1813951
221,1160777
222,1242829
223,1226953
224,1133099
225,1188235
226,1290535
227,1149448
228,1129862
229,1152412
230,1160349
231,380761
232,393013
233,339669
234,255359
235,355360
236,402128
237,405665
238,349533
239,407723
240,358615
241,1946415
242,1930213
243,1888967
244,1931495
245,1889237
246,1948266
247,1914919
248,1987379
249,1914115
250,1935908
251,1854733
252,1786932
253,1844617
254,1868338
255,1873364
256,1840448
257,1812864
258,1893161
259,1875796
260,1728061
261,1144058
262,1191039
263,1167831
264,1205621
265,1189402
266,1147172
267,1158464
268,1176595
269,1124231
270,1141675
271,400615
272,288306
273,399776
274,326829
275,410355
276,385021
277,391435
278,343515
279,309168
280,357158
281,1982801
282,1967033
283,1863397
284,1927694
285,1975298
286,1916761
287,2007930
288,1941224
289,1977838
290,1974143
291,1838167
292,1866853
293,1820140
294,1855614
295,1759779
296,1916000
297,1814356
298,1803137
299,1776130
300,1899857
301,1206194
302,1231150
303,1198820
304,1116245
305,1176451
306,1202255
307,1222330
308,1171299
309,1120453
310,1186065
311,374146
312,474110
313,344813
314,328447
315,308172
316,355824
317,382442
318,400356
319,299633
320,431614
321,2665852
322,2869657
323,2789938
324,2807860
325,2835045
326,2961593
327,2985475
328,2904822
329,2888328
330,2888588
331,2765680
332,2742164
333,2708820
334,2507256
335,2690951
336,2582222
337,2543395
338,2481839
339,2634245
340,2640578
341,1781522
342,1773600
343,1807660
344,1751186
345,1719675
346,1601274
347,1756036
348,1809761
349,1833400
350,1727916
351,736898
352,601655
353,830591
354,648058
355,557184
356,631416
357,740711
358,725927
359,574303
360,625812
361,2884032
362,2972073
363,2868283
364,2925454
365,2859858
366,2940585
367,2905788
368,2882032
369,2913006
370,2976458
371,2794328
372,2824007
373,2747081
374,2762119
375,2761113
376,2677939
377,2751188
378,2676662
379,2709344
380,2667545
381,1792361
382,1817955
383,1803070
