Intance Number,Configuration,VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
1,20_1_20_1,921541,921631,923300,923293,921646,922424,921631,921631,923293,923293,922521,922521,922499,922651,931173,922651,922702,922702,923317,923620,922548,922521,922024,922600,922675
2,20_1_20_2,945616,945518,946731,946731,946038,948336,945458,945518,946731,946731,946919,946919,946009,945468,956353,945468,947895,947516,947267,947719,947044,947846,946323,947404,946712
7,20_1_20_7,999974,999062,999333,999463,999259,1002458,999856,999475,999333,999463,1002466,1002466,999318,999801,1010734,999801,1002016,1002502,1003001,1001966,1001692,1000930,1000433,1001288,1002154
8,20_1_20_8,981181,980948,982476,981418,982084,983145,981120,980948,982476,981418,983701,983441,982078,982034,991429,982034,983501,984715,983684,983024,982132,982126,981664,982335,982015
10,20_1_20_10,949870,949316,949597,949405,950480,950063,949838,949754,949597,949405,951032,951032,950121,950237,957426,950237,950947,951006,950928,951357,950753,950160,950827,950301,951549
13,20_1_100_3,881098,882956,882206,880719,892363,885179,881178,882907,882206,880719,890463,890637,884752,885783,905577,885783,894008,892552,890120,890120,891010,891042,881708,882289,882569
14,20_1_100_4,873751,870920,879132,877002,872917,871081,873751,872783,879132,877002,883736,878233,872533,872683,904367,872683,878501,877317,880617,880207,875861,881952,874689,872850,872850
15,20_1_100_5,901135,902123,901157,901911,904162,905924,901123,901815,901157,902681,908464,904083,903143,905853,926182,905853,904313,910074,905497,906160,911508,905778,903453,902025,902128
16,20_1_100_6,882036,882469,881109,881469,883299,879642,882036,882469,881109,881469,893093,893093,885692,880441,897799,880441,891348,890766,893242,893242,888715,887089,886230,882989,881587
20,20_1_100_10,865738,865448,870719,870719,866525,870194,865738,865448,870719,870719,876135,869381,867492,867163,889557,867163,877441,879567,876698,880976,876506,877061,869764,872601,880465
23,20_1_500_3,595639,622814,619736,611868,605004,601030,594640,622814,619736,611868,644796,614129,592197,594873,618419,594873,595297,599821,694359,667779,642330,634854,602544,612641,608616
26,20_1_500_6,595417,605419,621053,596910,601505,648900,601837,607256,596914,596910,636608,635929,605277,598887,633536,598887,713286,707976,621357,649123,666411,650130,611709,626387,629499
28,20_1_500_8,665032,651476,662377,641013,664938,643460,662931,670862,662377,651698,646087,673929,658828,670921,665453,665453,655483,678029,693621,681618,679556,682853,651958,648249,638713
29,20_1_500_9,578280,578137,583594,583831,595625,617953,578280,578137,581884,585231,618636,632237,595485,595485,598899,595485,594658,611598,612757,602722,625325,626664,574865,579953,579637
30,20_1_500_10,648802,654550,656059,671092,646959,654576,651815,653619,656639,658386,693244,676105,679725,649420,682786,649420,735642,704493,708285,698071,705998,712594,632081,651531,632968
31,20_1_1000_1,229531,236548,279018,246878,224335,278599,238971,241332,256468,253991,279440,264731,231392,252193,228598,228598,326007,326007,220211,240468,257749,238088,192482,218403,237963
32,20_1_1000_2,229425,233277,221968,220144,252795,311123,228840,218759,229367,220144,297898,304262,288482,246266,328765,246266,395534,382154,254025,261055,345169,296979,264264,231768,231949
