Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
3,20_1_20_3,964473,964439,964321,964981,965018,965030,965082,964439,964321,964981,965297,965297,965823,965823,977489,965823,965680,965564,965292,965292,965358,965358,964757,965373,965622
4,20_1_20_4,935282,935282,935529,935061,935036,934903,934799,934916,935529,935061,936305,936299,935766,935766,946692,935766,936210,936151,936761,936761,937697,937705,936000,935421,935641
5,20_1_20_5,962901,962514,963145,963070,963981,963035,963449,962803,963145,963070,964496,964915,963140,963140,973102,963140,966856,966117,964013,964013,964599,965250,964457,964112,964845
6,20_1_20_6,965297,965295,965098,965140,965209,965115,965661,965315,965098,965140,966554,966554,965231,965231,977273,965231,965486,965665,965635,965635,965652,965504,965573,965280,965280
9,20_1_20_9,991236,990841,990007,990542,991200,990410,990581,990456,990007,990542,991720,991720,990621,990726,1003577,990726,992095,991729,992449,992449,990909,991019,990694,991024,990679
11,20_1_100_1,921470,921470,919726,922218,921026,923847,921470,921346,920758,920880,925226,925226,922405,922405,945386,922405,930970,924108,922211,922211,926480,926325,923367,922251,924229
12,20_1_100_2,894544,889533,886475,885745,885881,881233,888843,890620,886475,885745,884920,884920,881621,881621,910009,881621,881850,887040,883007,883007,897647,896080,888237,882517,882533
17,20_1_100_7,867695,867695,868460,868440,868216,867854,867808,867672,868460,868440,867197,867197,866782,866782,882284,866782,868447,868447,867799,867799,873252,873972,874752,868289,868142
18,20_1_100_8,954271,957962,955108,955122,955122,953547,956854,955815,955108,955122,964848,962228,954462,954462,982861,954462,962093,964509,962921,962921,964252,966399,959200,957450,955329
19,20_1_100_9,882351,886433,886151,887679,887477,887607,882351,886433,886151,887679,884882,885207,886022,886022,922224,886022,887241,886797,892727,892727,888941,888350,885087,888025,883457
21,20_1_500_1,625865,613615,624550,633236,647076,634449,625865,627565,620554,639495,655111,656531,620140,620140,642603,620140,646779,656757,638848,638848,626667,610981,626026,654464,609102
22,20_1_500_2,606799,606799,642400,626237,645952,609448,606799,606799,642400,612070,636867,636867,613960,613960,635963,613960,639657,659670,632697,632697,674194,668572,619480,590304,612831
24,20_1_500_4,593355,592530,606159,603392,596242,594494,598490,593620,624104,607022,654868,643859,591492,591492,658879,591492,623711,623711,615549,615549,633772,633708,604433,610293,616039
25,20_1_500_5,677399,638297,672597,647231,690004,646168,677399,641905,662570,656758,666184,666184,652878,652878,690530,652878,663746,663746,695665,695665,691827,680268,672831,666124,658577
27,20_1_500_7,619456,620470,645562,644231,643320,649813,619456,620470,630178,652593,642335,650565,612180,612180,638516,612180,633220,633514,662766,662766,673412,673544,621533,613631,622265
36,20_1_1000_6,271574,244895,273873,273026,248304,268587,290958,244515,285569,251673,278965,309474,261100,264144,289468,264144,298736,295356,379540,379540,332465,267034,280573,277567,275432
39,20_1_1000_9,256555,283637,279791,278776,279791,266256,288055,299783,283729,283729,328200,284244,278314,278314,335844,278314,350192,338607,287267,287267,407664,390215,409688,303117,290501
40,20_1_1000_10,217285,198797,238029,227322,246460,195052,208022,209129,227322,210050,264889,264889,198897,198897,308310,198897,277991,278171,253838,253838,340460,338121,297296,220337,207987
41,20_2_20_1,1054161,1054258,1053487,1053487,1054348,1050800,1054161,1054338,1053487,1053487,1050800,1050800,1050800,1050800,1065710,1050800,1050800,1050800,1050800,1050800,1054897,1054897,1054138,1050800,1050800
